帖子id,topic,count,n_comments,share_within_cell
69db34bb000000001a0348ae,0,120,221,0.5429864253393665
69db34bb000000001a0348ae,1,22,221,0.09954751131221719
69db34bb000000001a0348ae,2,18,221,0.08144796380090498
69db34bb000000001a0348ae,3,3,221,0.013574660633484163
69db34bb000000001a0348ae,4,31,221,0.14027149321266968
69db34bb000000001a0348ae,5,2,221,0.00904977375565611
69db34bb000000001a0348ae,6,25,221,0.11312217194570136
69df625d0000000021005c63,0,298,1172,0.25426621160409557
69df625d0000000021005c63,1,109,1172,0.09300341296928327
69df625d0000000021005c63,2,29,1172,0.024744027303754267
69df625d0000000021005c63,3,39,1172,0.033276450511945395
69df625d0000000021005c63,4,319,1172,0.2721843003412969
69df625d0000000021005c63,5,92,1172,0.07849829351535836
69df625d0000000021005c63,6,286,1172,0.2440273037542662
69e2583b00000000230211ea,0,270,1185,0.22784810126582278
69e2583b00000000230211ea,1,89,1185,0.0751054852320675
69e2583b00000000230211ea,2,108,1185,0.09113924050632911
69e2583b00000000230211ea,3,105,1185,0.08860759493670886
69e2583b00000000230211ea,4,308,1185,0.25991561181434597
69e2583b00000000230211ea,5,26,1185,0.021940928270042195
69e2583b00000000230211ea,6,279,1185,0.23544303797468355
69e41e24000000001a025f1a,0,14,76,0.18421052631578946
69e41e24000000001a025f1a,1,9,76,0.11842105263157894
69e41e24000000001a025f1a,2,4,76,0.05263157894736842
69e41e24000000001a025f1a,3,8,76,0.10526315789473684
69e41e24000000001a025f1a,4,15,76,0.19736842105263158
69e41e24000000001a025f1a,5,5,76,0.06578947368421052
69e41e24000000001a025f1a,6,21,76,0.27631578947368424
69e48b0b000000001a02578c,0,54,191,0.28272251308900526
69e48b0b000000001a02578c,1,22,191,0.11518324607329843
69e48b0b000000001a02578c,2,9,191,0.04712041884816754
69e48b0b000000001a02578c,3,7,191,0.03664921465968586
69e48b0b000000001a02578c,4,33,191,0.17277486910994763
69e48b0b000000001a02578c,5,3,191,0.015706806282722512
69e48b0b000000001a02578c,6,63,191,0.3298429319371728
