post_category,topic,mean_share_post_averaged,n_posts_in_category
常态|保护者,0,0.11607142857142858,1
常态|保护者,1,0.07366071428571429,1
常态|保护者,2,0.024553571428571428,1
常态|保护者,3,0.32142857142857145,1
常态|保护者,4,0.09821428571428571,1
常态|保护者,5,0.19866071428571427,1
常态|保护者,6,0.16741071428571427,1
常态|服务者,0,0.14762845849802372,2
常态|服务者,1,0.22397891963109354,2
常态|服务者,2,0.11548089591567853,2
常态|服务者,3,0.04057971014492753,2
常态|服务者,4,0.44696969696969696,2
常态|服务者,5,0.02246376811594203,2
常态|服务者,6,0.002898550724637681,2
常态|观众,0,0.4707643562419606,5
常态|观众,1,0.16819539205117454,5
常态|观众,2,0.17697408295593253,5
常态|观众,3,0.03034669212538807,5
常态|观众,4,0.08906055465016892,5
常态|观众,5,0.058645700515929634,5
常态|观众,6,0.006013221459445715,5
