帖子id,topic,count,n_comments,share_within_cell
69e40352000000002102fc75,0,147,690,0.21304347826086956
69e40352000000002102fc75,1,28,690,0.04057971014492753
69e40352000000002102fc75,2,70,690,0.10144927536231885
69e40352000000002102fc75,3,111,690,0.1608695652173913
69e40352000000002102fc75,4,78,690,0.11304347826086956
69e40352000000002102fc75,5,55,690,0.07971014492753623
69e40352000000002102fc75,6,58,690,0.08405797101449275
69e40352000000002102fc75,7,37,690,0.0536231884057971
69e40352000000002102fc75,8,47,690,0.06811594202898551
69e40352000000002102fc75,9,59,690,0.08550724637681159
69e429b4000000001b00037a,0,97,437,0.2219679633867277
69e429b4000000001b00037a,1,15,437,0.034324942791762014
69e429b4000000001b00037a,2,19,437,0.043478260869565216
69e429b4000000001b00037a,3,59,437,0.13501144164759726
69e429b4000000001b00037a,4,31,437,0.07093821510297482
69e429b4000000001b00037a,5,43,437,0.09839816933638444
69e429b4000000001b00037a,6,33,437,0.07551487414187644
69e429b4000000001b00037a,7,63,437,0.14416475972540047
69e429b4000000001b00037a,8,37,437,0.08466819221967964
69e429b4000000001b00037a,9,40,437,0.09153318077803203
69e43a5a000000001d01dcc7,0,16,64,0.25
69e43a5a000000001d01dcc7,1,1,64,0.015625
69e43a5a000000001d01dcc7,2,4,64,0.0625
69e43a5a000000001d01dcc7,3,7,64,0.109375
69e43a5a000000001d01dcc7,4,6,64,0.09375
69e43a5a000000001d01dcc7,5,2,64,0.03125
69e43a5a000000001d01dcc7,6,4,64,0.0625
69e43a5a000000001d01dcc7,7,10,64,0.15625
69e43a5a000000001d01dcc7,8,5,64,0.078125
69e43a5a000000001d01dcc7,9,9,64,0.140625
69e44f3a000000002301079c,3,2,4,0.5
69e44f3a000000002301079c,5,2,4,0.5
69e46032000000001f002048,0,129,448,0.28794642857142855
69e46032000000001f002048,1,92,448,0.20535714285714285
69e46032000000001f002048,2,40,448,0.08928571428571429
69e46032000000001f002048,3,23,448,0.05133928571428571
69e46032000000001f002048,4,16,448,0.03571428571428571
69e46032000000001f002048,5,19,448,0.04241071428571429
69e46032000000001f002048,6,17,448,0.03794642857142857
69e46032000000001f002048,7,15,448,0.033482142857142856
69e46032000000001f002048,8,66,448,0.14732142857142858
69e46032000000001f002048,9,31,448,0.06919642857142858
69e4c771000000002102c3fc,0,6,22,0.2727272727272727
69e4c771000000002102c3fc,3,1,22,0.045454545454545456
69e4c771000000002102c3fc,4,1,22,0.045454545454545456
69e4c771000000002102c3fc,5,9,22,0.4090909090909091
69e4c771000000002102c3fc,6,2,22,0.09090909090909091
69e4c771000000002102c3fc,7,3,22,0.13636363636363635
69e5a09a000000002103ba03,0,8,36,0.2222222222222222
69e5a09a000000002103ba03,1,3,36,0.08333333333333333
69e5a09a000000002103ba03,2,2,36,0.05555555555555555
69e5a09a000000002103ba03,3,3,36,0.08333333333333333
69e5a09a000000002103ba03,4,2,36,0.05555555555555555
69e5a09a000000002103ba03,5,2,36,0.05555555555555555
69e5a09a000000002103ba03,6,2,36,0.05555555555555555
69e5a09a000000002103ba03,7,6,36,0.16666666666666666
69e5a09a000000002103ba03,8,1,36,0.027777777777777776
69e5a09a000000002103ba03,9,7,36,0.19444444444444445
69e634590000000022003bb5,0,35,271,0.12915129151291513
69e634590000000022003bb5,1,7,271,0.025830258302583026
69e634590000000022003bb5,2,27,271,0.0996309963099631
69e634590000000022003bb5,3,29,271,0.1070110701107011
69e634590000000022003bb5,4,19,271,0.07011070110701106
69e634590000000022003bb5,5,49,271,0.18081180811808117
69e634590000000022003bb5,6,31,271,0.11439114391143912
69e634590000000022003bb5,7,36,271,0.13284132841328414
69e634590000000022003bb5,8,21,271,0.07749077490774908
69e634590000000022003bb5,9,17,271,0.06273062730627306
