topic,top_terms,size
0,"本人, 评论, 机器人, 严肃, 统治, 名状, 地球, 之后, 当做, 内容, 点赞, 此条, 代表, 认同, 本文",370
1,"机器人, 真的, 家务, 代替, 能力, 一步, 期待, 时代, ai, 工作, 今天, 生产, 生活, 发展, 步态",120
2,"机器人, 知道, 为了, robot, 努力, 坚决, 跑步, 自由, 维护, 大家, 人类, 机哭, great, make, again",96
3,"跑步, 机器人, 为什么, 技术, 人, 豆包, 人类, 速度, 第一, 哪里, 只是, 发展, 应用, 看见, 完全",147
4,"马拉松, 是不是, 晚上, 跳舞, 进步, 之前, 测试, 时间, 运动员, 科技, 舞蹈, 鼓掌, 模式, 进化, 白天",119
5,"厉害, 看着, 加油, 起来, 孩子, 视频, 中国, 容易, 上吊, 终点, 学习, 工作, 宝宝, 似的, 看完",147
6,"孩子, 感动, 喜欢, 准备, 一种, 没电, 到底, 小机器人, 控制, 一样, 里面, 竟然, 研究, 好好, 遥控器",116
7,"最后, 后面, 好像, 开始, 样子, 宇树, 我要, 姿势, 真的, 北京, 选手, 不要, 居然, 小红书, 帖子",147
8,"机器人, 凉面, 意义, 可爱, 麻酱, 原来, 上班, 衣服, 好吃, 加点, 鸡丝, 肯定, 电池, 一点, 一定",241
9,"遥控, 机器人, 机器, 自主, 人类, 支持, 有人, 需要, 一下, 这些, 好多, 那些, 严肃, 看得, 好看",156
10,"人, 机器人, 一样, 未来, ai, 心疼, 希望, 记得, 世界, 一起, 人类, 拥护, 哪个, 大人, 地上",133
11,"比赛, 公司, 人家, 机器人, 这样, 参加, 人, 干嘛, 表演, 程序员, 工程师, 半马, 人形机器人, 仿生, 不用",180
