topic,top_terms,size
0,"机器人, 虐待, 未来, 上吊, 公司, 原来, 中国, 有的是, 一点, 心疼, 后面, 拥护, 统治, 这些, 为什么",455
1,"评论, 严肃, 本人, 名状, 之后, 地球, 统治, 当做, 支持, 内容, 此条, 点赞, 本文, 认同, 人类",115
2,"遥控, 自主, 玩具, 控制, 两个, 工作人员, 表演, 有人, 身上, 速度, 程序员, 今年, 需要, 鼓掌, 后面",95
3,"比赛, 人家, 参加, 表演, 原来, 运动员, 汽车, 跳舞, 为什么, 干扰, 享受, 知道, 影响, 今天, 举办",118
4,"人, 主要, 仿生, 服务, 发展, 这样, 干嘛, 时代, 喜欢, 努力, 更多, 一群, 公司, 进步, 每个",170
5,"凉面, 麻酱, 好吃, 鸡丝, 加点, 黄瓜, 我要, 这样, 支持, 花生米, 要加, 哪里, 确实, 墙头草, 评论",95
6,"孩子, 看着, 后面, 感动, 最后, 有种, 家长, 工作, 没电, 终点, 自家, 很多, 认真, 创造, 奔跑",90
7,"跑步, 知道, 姿势, 意义, 坚决, 自由, 喜欢, robot, 人类, 不要, again, 机哭, make, great, 维护",128
8,"马拉松, 意义, 人类, 电池, 到底, 服务, 晚上, 工作, 参加, 北京, 喜欢, 替代, 人形机器人, 白天, 表演",182
9,"机器, 人类, 只是, 为什么, 人格, 支持, 人形机器人, 加油, 严肃, 或者, 工程师, 干嘛, 有人, 轮子, 真正",100
10,"真的, 厉害, 后面, 开始, 好像, 自主, 动作, 好笑, 豆包, 姿势, 膝盖, 评论, 步态, 太不容易, 热血",181
11,"一样, 最后, 知道, 可爱, 衣服, 感动, 样子, 努力, 一下, 好像, 未来, 小机器人, 记得, 模仿, 永远",243
