帖子id,topic,count,n_comments,share_within_cell
69e40352000000002102fc75,0,243,690,0.3521739130434783
69e40352000000002102fc75,1,11,690,0.015942028985507246
69e40352000000002102fc75,2,48,690,0.06956521739130435
69e40352000000002102fc75,3,96,690,0.1391304347826087
69e40352000000002102fc75,4,292,690,0.42318840579710143
69e429b4000000001b00037a,0,97,437,0.2219679633867277
69e429b4000000001b00037a,1,4,437,0.009153318077803204
69e429b4000000001b00037a,2,46,437,0.10526315789473684
69e429b4000000001b00037a,3,145,437,0.3318077803203661
69e429b4000000001b00037a,4,145,437,0.3318077803203661
69e43a5a000000001d01dcc7,0,18,64,0.28125
69e43a5a000000001d01dcc7,2,16,64,0.25
69e43a5a000000001d01dcc7,3,11,64,0.171875
69e43a5a000000001d01dcc7,4,19,64,0.296875
69e44f3a000000002301079c,3,1,4,0.25
69e44f3a000000002301079c,4,3,4,0.75
69e46032000000001f002048,0,143,448,0.31919642857142855
69e46032000000001f002048,1,122,448,0.27232142857142855
69e46032000000001f002048,2,9,448,0.020089285714285716
69e46032000000001f002048,3,21,448,0.046875
69e46032000000001f002048,4,153,448,0.34151785714285715
69e4c771000000002102c3fc,0,2,22,0.09090909090909091
69e4c771000000002102c3fc,1,1,22,0.045454545454545456
69e4c771000000002102c3fc,2,1,22,0.045454545454545456
69e4c771000000002102c3fc,3,3,22,0.13636363636363635
69e4c771000000002102c3fc,4,15,22,0.6818181818181818
69e5a09a000000002103ba03,0,7,36,0.19444444444444445
69e5a09a000000002103ba03,1,1,36,0.027777777777777776
69e5a09a000000002103ba03,2,8,36,0.2222222222222222
69e5a09a000000002103ba03,3,2,36,0.05555555555555555
69e5a09a000000002103ba03,4,18,36,0.5
69e634590000000022003bb5,0,73,271,0.2693726937269373
69e634590000000022003bb5,1,1,271,0.0036900369003690036
69e634590000000022003bb5,2,21,271,0.07749077490774908
69e634590000000022003bb5,3,42,271,0.15498154981549817
69e634590000000022003bb5,4,134,271,0.4944649446494465
