post_category,topic,mean_share_post_averaged,n_posts_in_category
常态|保护者,0,0.25892857142857145,1
常态|保护者,1,0.23883928571428573,1
常态|保护者,2,0.013392857142857142,1
常态|保护者,3,0.03125,1
常态|保护者,4,0.11830357142857142,1
常态|保护者,5,0.18080357142857142,1
常态|保护者,6,0.15848214285714285,1
常态|服务者,0,0.18359683794466403,2
常态|服务者,1,0.03069828722002635,2
常态|服务者,2,0.050988142292490116,2
常态|服务者,3,0.0821475625823452,2
常态|服务者,4,0.3057312252964427,2
常态|服务者,5,0.0541501976284585,2
常态|服务者,6,0.2926877470355731,2
常态|观众,0,0.16661839501690212,5
常态|观众,1,0.007666560647299836,5
常态|观众,2,0.1074784290463042,5
常态|观众,3,0.15085550533709,5
常态|观众,4,0.13651131076528156,5
常态|观众,5,0.006609002803414761,5
常态|观众,6,0.42426079638370756,5
