帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic
69e59e520000000022027a90,"花田里犯了错|机器人马拉松正赛搞笑赏析

",,2593.0,1,69e5c6f0000000001401ac1e,,5df1ed100000000001009777,那个看热闹的还拍手的也太像人类了 哈哈哈哈哈,2026.04.20,上海,3855.0,62.0,22,弱势|观众,弱势,观众,3,弱势,0
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了🤣🤣🤣

",,8501.0,1,69e43311000000001401e428,,63f0a8d8000000001400d2a3,能跑完全程就很厉害了，有些直接摔烂了,2026.04.19,四川,1096.0,33.0,18,弱势|观众,弱势,观众,4,弱势,0
69e6f2bc0000000023005345,"🍼机器人第一视角，好多人呀

",,687.0,2,69e72548000000001401a811,69e72510000000001401e404,5a3b69814eacab6dcedbb1ba,[哭惹R]跑的太慢了组委会让我们中止了,2026.04.21,广东,1051.0,,19,弱势|观众,弱势,观众,3,弱势,0
69e59e520000000022027a90,"花田里犯了错|机器人马拉松正赛搞笑赏析

",,2593.0,2,69e62691000000001401a021,69e61c570000000014018c05,5cdd304c000000001201f49a,太优秀了反而显得格格不入[偷笑R],2026.04.20,北京,892.0,,17,弱势|观众,弱势,观众,4,弱势,0
69e48d54000000002102e178,"😭亦庄机器人半马最感人一幕

",,1589.0,2,69e4e8cf000000001401981a,69e4e394000000001401bc31,6159756f000000000201f18b,看到这里牛马发出一声大笑,2026.04.19,北京,594.0,,12,弱势|保护者,弱势,保护者,4,弱势,0
69e48d54000000002102e178,"😭亦庄机器人半马最感人一幕

",,1589.0,1,69e57274000000001401d811,,5bb20a940c1a670001a296d6,他爸看起来年纪也不大,2026.04.20,江苏,486.0,5.0,10,弱势|保护者,弱势,保护者,4,弱势,0
69e59e520000000022027a90,"花田里犯了错|机器人马拉松正赛搞笑赏析

",,2593.0,2,69e66e930000000014018c00,69e6394c000000001401c410,5ee638d6000000000101e7bb,这些是搞笑锦集，去看前十名那些，就都很牛逼的[大笑R],2026.04.21,广东,421.0,,27,弱势|观众,弱势,观众,5,弱势,0
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了🤣🤣🤣

",,8501.0,2,69e43b43000000001401c03f,69e43311000000001401e428,63e31a220000000026012c04,工作人员：少爷，比赛已经结束了，我开车送您回家[doge],2026.04.19,北京,387.0,,29,弱势|观众,弱势,观众,6,弱势,0
69e6f2bc0000000023005345,"🍼机器人第一视角，好多人呀

",,687.0,2,69e717510000000014018c0e,69e7170a000000001401b807,5a3b69814eacab6dcedbb1ba,[害羞R][害羞R]小小的出个圈,2026.04.21,广东,378.0,,16,弱势|观众,弱势,观众,2,弱势,0
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了🤣🤣🤣

",,8501.0,2,69e436d3000000001401e804,69e4367c0000000014018826,5e2525c500000000010048f1,毕竟是个婴儿还[笑哭R],2026.04.19,北京,363.0,,12,弱势|观众,弱势,观众,2,弱势,0
69e48d54000000002102e178,"😭亦庄机器人半马最感人一幕

",,1589.0,2,69e4ac930000000014018c2a,69e4a2e5000000001401b816,651b653a000000002402e1a9,现场很多跑不下来的，直接放平或者绑着,2026.04.19,北京,361.0,,18,弱势|保护者,弱势,保护者,5,弱势,0
69e59e520000000022027a90,"花田里犯了错|机器人马拉松正赛搞笑赏析

",,2593.0,2,69e6287f0000000014019807,69e61c570000000014018c05,5b6db65dc9010a00018dafc3,太顺利就没有看点,2026.04.20,甘肃,305.0,,8,弱势|观众,弱势,观众,2,弱势,0
69e59e520000000022027a90,"花田里犯了错|机器人马拉松正赛搞笑赏析

",,2593.0,2,69e62ab2000000001401a00d,69e61c570000000014018c05,5e33d44400000000010057cc,它认真的跑，所以不搞笑,2026.04.20,上海,281.0,,11,弱势|观众,弱势,观众,2,弱势,0
69e6f2bc0000000023005345,"🍼机器人第一视角，好多人呀

",,687.0,2,69e72659000000001401e408,69e72510000000001401e404,54dae034e7798965bfe4fba6,哈哈哈哈哈哈哈哈哈哈哈心塞！应该让小朋友先跑，锻炼一下大高个们的避障能力,2026.04.21,北京,275.0,,36,弱势|观众,弱势,观众,8,弱势,0
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了🤣🤣🤣

",,8501.0,2,69e439f9000000001401c426,69e43311000000001401e428,60f3b36e0000000001009e86,并没有，20分钟前刚看到舒服的坐在车后座过去了[笑哭R],2026.04.19,北京,246.0,,28,弱势|观众,弱势,观众,7,弱势,0
69e59e520000000022027a90,"花田里犯了错|机器人马拉松正赛搞笑赏析

",,2593.0,2,69e609f6000000001401c824,69e5a096000000001401b813,5b00e87fe8ac2b28a677fde5,能参赛都很棒，但是，太好笑了[捂脸R],2026.04.20,山东,244.0,,19,弱势|观众,弱势,观众,3,弱势,0
69e48d54000000002102e178,"😭亦庄机器人半马最感人一幕

",,1589.0,1,69e4c202000000001401e839,,5a9df5e94eacab13b80b113c,这个就跟送自家孩子参加比赛一样 失败了就下次努力,2026.04.19,四川,238.0,1.0,24,弱势|保护者,弱势,保护者,8,弱势,0
69e48d54000000002102e178,"😭亦庄机器人半马最感人一幕

",,1589.0,2,69e4b438000000001401a812,69e4a2e5000000001401b816,5b7564a826b61b0001455af6,来人，把这个靓仔叉出去,2026.04.19,北京,202.0,,11,弱势|保护者,弱势,保护者,3,弱势,0
69e48d54000000002102e178,"😭亦庄机器人半马最感人一幕

",,1589.0,2,69e4ac77000000001401cc02,69e4abf1000000001401c014,610a02e7000000000101ef34,不不，走的挺慢的，这是起点两公里的地方,2026.04.19,北京,194.0,,19,弱势|保护者,弱势,保护者,4,弱势,0
69e6f2bc0000000023005345,"🍼机器人第一视角，好多人呀

",,687.0,2,69e7381a0000000014019418,69e72520000000001401e42b,5bc42b13992ffd0001cd724f,已经有网友给配上了，哈哈[偷笑R],2026.04.21,安徽,192.0,,17,弱势|观众,弱势,观众,2,弱势,0
69e59e520000000022027a90,"花田里犯了错|机器人马拉松正赛搞笑赏析

",,2593.0,2,69e62a1f000000001401e426,69e61c570000000014018c05,62de9f8b000000001e01c280,跑太快了，镜头都追不上[汗颜R],2026.04.20,上海,139.0,,16,弱势|观众,弱势,观众,3,弱势,0
69e6f2bc0000000023005345,"🍼机器人第一视角，好多人呀

",,687.0,2,69e79dff000000001401a417,69e79d67000000001401d426,5a3b69814eacab6dcedbb1ba,[哭惹R] 小朋友被别人嘲笑了,2026.04.21,广东,133.0,,15,弱势|观众,弱势,观众,3,弱势,0
69e48d54000000002102e178,"😭亦庄机器人半马最感人一幕

",,1589.0,2,69e4afdf000000001401a81a,69e49ee3000000001401c41e,608b9df500000000010094ea,基本考前这么说......,2026.04.19,北京,130.0,,13,弱势|保护者,弱势,保护者,2,弱势,0
69e6f2bc0000000023005345,"🍼机器人第一视角，好多人呀

",,687.0,2,69e71ba5000000001401881a,69e7170a000000001401b807,61a0f81600000000100089aa,可爱无敌，而且那么多中途挂了的，能跑到终点已经很厉害了[笑哭R],2026.04.21,山东,128.0,,32,弱势|观众,弱势,观众,5,弱势,0
69e48d54000000002102e178,"😭亦庄机器人半马最感人一幕

",,1589.0,2,69e4ab2c000000001401d804,69e4a270000000001401a802,558580cd3397db232de1d0e6,跟你们这些天赋型选手拼了,2026.04.19,北京,122.0,,12,弱势|保护者,弱势,保护者,3,弱势,0
69e48d54000000002102e178,"😭亦庄机器人半马最感人一幕

",,1589.0,2,69e4ac3b0000000014019823,69e4abf1000000001401c014,5b18068211be102d47275f9c,看着还行啊 走的挺快,2026.04.19,河北,121.0,,10,弱势|保护者,弱势,保护者,3,弱势,0
69e48d54000000002102e178,"😭亦庄机器人半马最感人一幕

",,1589.0,2,69e4c4c3000000001401cc2a,69e4b7d5000000001401c81d,58cda3fb50c4b406bcfce484,感觉工作人员很开心啊 孩子应该跑的不错,2026.04.19,上海,80.0,,19,弱势|保护者,弱势,保护者,4,弱势,0
69e59e520000000022027a90,"花田里犯了错|机器人马拉松正赛搞笑赏析

",,2593.0,1,69e63bbc000000001401982e,,59227ead50c4b44f20293c83,休息的时候好好笑,2026.04.20,广东,77.0,3.0,8,弱势|观众,弱势,观众,2,弱势,0
69e6f2bc0000000023005345,"🍼机器人第一视角，好多人呀

",,687.0,1,69e73b0c000000001401e020,,668d246400000000030338c2,真的很想买一个回来当小朋友的玩伴耶[暗中观察R],2026.04.21,贵州,75.0,20.0,24,弱势|观众,弱势,观众,5,弱势,0
69e48d54000000002102e178,"😭亦庄机器人半马最感人一幕

",,1589.0,1,69e4a2d0000000001401ac06,,5e9176000000000001000a4a,相信他们会把它们“养”好的，感觉今年脚底下利索点了,2026.04.19,河北,74.0,2.0,25,弱势|保护者,弱势,保护者,4,弱势,0
69e48d54000000002102e178,"😭亦庄机器人半马最感人一幕

",,1589.0,1,69e504de000000001401bc03,,5b04fabbb1da141b6a8ed05d,这个程序员也长得很小，有点清澈的孩子气，新的人搂着新的机器人，一代年轻人更比一代强，中国一定会越来越好,2026.04.20,海南,3268.0,17.0,51,弱势|保护者,弱势,保护者,13,弱势,1
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了🤣🤣🤣

",,8501.0,1,69e4367c0000000014018826,,5bd4164d3a8a5b0001274f5c,笑死🤣这个机器人刚刚从我面前过去了，它没跑了,2026.04.19,北京,2636.0,42.0,22,弱势|观众,弱势,观众,4,弱势,1
69e59e520000000022027a90,"花田里犯了错|机器人马拉松正赛搞笑赏析

",,2593.0,1,69e5a096000000001401b813,,661ab2d70000000007007f3b,让我先叠个甲，本人仅做搞笑解读，完全“曲解”机器人赛跑，大家权当图一乐，对所有机器人品牌一视同仁都是好样的，请大家切勿对品牌做任何解读，毕竟参赛的有厂家、高校生，也有机器人爱好者，本人无法进行区分，正赛全程大家可移步央视官网观看，所有参赛者都投入巨大热情，只为推广机器人事业，感谢！,2026.04.20,上海,1201.0,17.0,141,弱势|观众,弱势,观众,48,弱势,1
69e48d54000000002102e178,"😭亦庄机器人半马最感人一幕

",,1589.0,2,69e4ad09000000001401e817,69e4abf1000000001401c014,5e3ffcc400000000010080bf,赛博老大爷遛弯,2026.04.19,北京,861.0,,7,弱势|保护者,弱势,保护者,3,弱势,1
