Topic,ctfidf_top_terms
-1,"鲁班,小派,春晚,马拉松,孩子,跑步,人类,七号,加油,认真,动作,程序员,可爱,没电,感谢"
0,"机器人,人类,遥控,自主,机器,这些,人形,玩具,人形机器人,比赛,马拉松,机械,ai,小机器人,机器人马拉松"
1,"第一,倒数,搞笑,真的,解说,最后,好笑,比赛,意义,一名,笑话,人类,欢乐,流量,看热闹"
2,"降温,喷雾,屁股,云南白药,过热,防晒,散热,电机,喷点,wd40,关节,一下,孩子,制冷剂,裤裆"
3,"可爱,小小的,东西,喜欢,果然,真的,好萌,小朋友,小时候,这款,眼睛,宝宝,小东西,小玩意儿,想买"
4,"短腿,腿短,这小,太短,小腿,倒腾,挺快,吃亏,人家,输在,跑得慢,大长,主要,嘎嘎,太小"
5,"荣耀,宇树,闪电,撞线,第一个,遥控,厉害,机器人,参赛,华为,成绩,手机,六名,终点,比赛"
6,"奶瓶,奶嘴,可爱,脖子,手里,还拿个,手上,断奶,喝奶,马拉松,吃奶,甚至,年纪,宝宝,孩子"
7,"摔倒,随时,一步,一秒,绊倒,跪下,好怕,就要,一直,摔个,看着,边缘,大马,向前,后脑勺"
8,"鞋子,孩子,太大,大人,太重,妈妈,不快,小孩,跑步,拖累,嘎吱,行不行,买大,是不是,穿着"
9,"参加,未成年,儿童组,参赛,成人,小朋友,幼儿,儿童,公平,报名,禁止,童工,一起,幼儿园,组别"
10,"保安,一脚,大爷,大叔,田里,大哥,执勤,jio,花田错,工伤,跳进,警察,草丛,安保,绿化带"
11,"孩子,长大,小孩,大人,谁家,心疼,看起来,好怀念,不大,婆婆,看着,自家,出门,年龄,小朋友"
12,"苍蝇,蟑螂,蚊子,老鼠,除外,可爱,小小的,小时候,宝宝,毛毛虫,一窝,巨型,北方,幼虫,楼主"
13,"ppt,欣赏,毕业论文,反复,珍惜,心血,宝贝,excel,一份,文件,论文,舍得,表格,离职,非常"
14,"帽子,红领巾,安全帽,可爱,戴个,小帽子,戴帽子,头上,还给,草帽,头戴,带个,确实,为了,不挡"
15,"假酒,喝多,喝高,喝醉,半斤,二斤,面壁,喝大酒,第一位,第一个,未成年,比赛,昨晚,撒酒疯,再加"
16,"后面,开车,后座,到达,坐在,坐车,有个,时间,终点,汽车,关键时刻,笑成,平安,堵车,堵到"
