post_category,topic,mean_share_post_averaged,n_posts_in_category
弱势|保护者,0,0.4117647058823529,1
弱势|保护者,1,0.33986928104575165,1
弱势|保护者,2,0.032679738562091505,1
弱势|保护者,3,0.006535947712418301,1
弱势|保护者,4,0.006535947712418301,1
弱势|保护者,5,0.013071895424836602,1
弱势|保护者,6,0.006535947712418301,1
弱势|保护者,7,0.0196078431372549,1
弱势|保护者,8,0.006535947712418301,1
弱势|保护者,9,0.0,1
弱势|保护者,10,0.006535947712418301,1
弱势|保护者,11,0.1503267973856209,1
弱势|服务者,0,0.2248995983935743,1
弱势|服务者,1,0.08835341365461848,1
弱势|服务者,2,0.5622489959839357,1
弱势|服务者,3,0.07028112449799197,1
弱势|服务者,4,0.0,1
弱势|服务者,5,0.012048192771084338,1
弱势|服务者,6,0.008032128514056224,1
弱势|服务者,7,0.002008032128514056,1
弱势|服务者,8,0.01606425702811245,1
弱势|服务者,9,0.010040160642570281,1
弱势|服务者,10,0.0,1
弱势|服务者,11,0.006024096385542169,1
弱势|观众,0,0.31095344077309256,3
弱势|观众,1,0.2582127110304693,3
弱势|观众,2,0.017105685553402226,3
弱势|观众,3,0.08288049694454104,3
弱势|观众,4,0.03635220224255851,3
弱势|观众,5,0.06429840905551897,3
弱势|观众,6,0.059795044337327,3
弱势|观众,7,0.03459105188719773,3
弱势|观众,8,0.057495903974940865,3
弱势|观众,9,0.04364365816132378,3
弱势|观众,10,0.01994922016684802,3
弱势|观众,11,0.014722175872780033,3
