post_category,topic,mean_share_post_averaged,n_posts_in_category
弱势|保护者,0,0.2446043165467626,1
弱势|保护者,1,0.18345323741007194,1
弱势|保护者,2,0.07553956834532374,1
弱势|保护者,3,0.12589928057553956,1
弱势|保护者,4,0.017985611510791366,1
弱势|保护者,5,0.2302158273381295,1
弱势|保护者,6,0.0683453237410072,1
弱势|保护者,7,0.050359712230215826,1
弱势|保护者,8,0.0035971223021582736,1
弱势|保护者,9,0.0,1
弱势|服务者,0,0.09806835066864784,1
弱势|服务者,1,0.13670133729569092,1
弱势|服务者,2,0.06240713224368499,1
弱势|服务者,3,0.0638930163447251,1
弱势|服务者,4,0.4413075780089153,1
弱势|服务者,5,0.05794947994056464,1
弱势|服务者,6,0.10104011887072809,1
弱势|服务者,7,0.03714710252600297,1
弱势|服务者,8,0.0,1
弱势|服务者,9,0.0014858841010401188,1
弱势|观众,0,0.22661234190645954,3
弱势|观众,1,0.17706767555507053,3
弱势|观众,2,0.1065812991863412,3
弱势|观众,3,0.13536566141608158,3
弱势|观众,4,0.012257509064231753,3
弱势|观众,5,0.06752082651242315,3
弱势|观众,6,0.126826488171026,3
弱势|观众,7,0.11167230528575066,3
弱势|观众,8,0.025466186474589838,3
弱势|观众,9,0.010629706428025756,3
