帖子id,topic,count,n_comments,share_within_cell
69e42cc100000000220001ad,0,307,935,0.32834224598930484
69e42cc100000000220001ad,1,218,935,0.23315508021390374
69e42cc100000000220001ad,2,150,935,0.16042780748663102
69e42cc100000000220001ad,3,135,935,0.1443850267379679
69e42cc100000000220001ad,4,125,935,0.13368983957219252
69e43b14000000001a02e095,0,162,673,0.24071322436849926
69e43b14000000001a02e095,1,102,673,0.1515601783060921
69e43b14000000001a02e095,2,189,673,0.28083209509658247
69e43b14000000001a02e095,3,128,673,0.1901931649331352
69e43b14000000001a02e095,4,92,673,0.13670133729569092
69e48d54000000002102e178,0,94,278,0.3381294964028777
69e48d54000000002102e178,1,58,278,0.20863309352517986
69e48d54000000002102e178,2,53,278,0.1906474820143885
69e48d54000000002102e178,3,24,278,0.08633093525179857
69e48d54000000002102e178,4,49,278,0.17625899280575538
69e59e520000000022027a90,0,265,1275,0.20784313725490197
69e59e520000000022027a90,1,198,1275,0.15529411764705883
69e59e520000000022027a90,2,253,1275,0.1984313725490196
69e59e520000000022027a90,3,196,1275,0.15372549019607842
69e59e520000000022027a90,4,363,1275,0.2847058823529412
69e6f2bc0000000023005345,0,93,245,0.3795918367346939
69e6f2bc0000000023005345,1,41,245,0.1673469387755102
69e6f2bc0000000023005345,2,34,245,0.13877551020408163
69e6f2bc0000000023005345,3,37,245,0.1510204081632653
69e6f2bc0000000023005345,4,40,245,0.16326530612244897
