帖子id,topic,count,n_comments,share_within_cell
69e42cc100000000220001ad,0,147,935,0.1572192513368984
69e42cc100000000220001ad,1,108,935,0.11550802139037433
69e42cc100000000220001ad,2,75,935,0.08021390374331551
69e42cc100000000220001ad,3,28,935,0.029946524064171122
69e42cc100000000220001ad,4,50,935,0.053475935828877004
69e42cc100000000220001ad,5,25,935,0.026737967914438502
69e42cc100000000220001ad,6,123,935,0.13155080213903744
69e42cc100000000220001ad,7,121,935,0.12941176470588237
69e42cc100000000220001ad,8,25,935,0.026737967914438502
69e42cc100000000220001ad,9,31,935,0.033155080213903745
69e42cc100000000220001ad,10,72,935,0.07700534759358289
69e42cc100000000220001ad,11,130,935,0.13903743315508021
69e43b14000000001a02e095,0,87,673,0.12927191679049035
69e43b14000000001a02e095,1,49,673,0.07280832095096583
69e43b14000000001a02e095,2,30,673,0.04457652303120357
69e43b14000000001a02e095,3,15,673,0.022288261515601784
69e43b14000000001a02e095,4,31,673,0.04606240713224369
69e43b14000000001a02e095,5,12,673,0.017830609212481426
69e43b14000000001a02e095,6,102,673,0.1515601783060921
69e43b14000000001a02e095,7,26,673,0.03863298662704309
69e43b14000000001a02e095,8,14,673,0.020802377414561663
69e43b14000000001a02e095,9,219,673,0.32540861812778604
69e43b14000000001a02e095,10,60,673,0.08915304606240713
69e43b14000000001a02e095,11,28,673,0.041604754829123326
69e48d54000000002102e178,0,58,278,0.20863309352517986
69e48d54000000002102e178,1,6,278,0.02158273381294964
69e48d54000000002102e178,2,47,278,0.16906474820143885
69e48d54000000002102e178,3,29,278,0.10431654676258993
69e48d54000000002102e178,4,27,278,0.09712230215827339
69e48d54000000002102e178,5,7,278,0.025179856115107913
69e48d54000000002102e178,6,45,278,0.1618705035971223
69e48d54000000002102e178,7,9,278,0.03237410071942446
69e48d54000000002102e178,8,13,278,0.046762589928057555
69e48d54000000002102e178,9,12,278,0.04316546762589928
69e48d54000000002102e178,10,16,278,0.05755395683453238
69e48d54000000002102e178,11,9,278,0.03237410071942446
69e59e520000000022027a90,0,304,1275,0.2384313725490196
69e59e520000000022027a90,1,24,1275,0.018823529411764704
69e59e520000000022027a90,2,21,1275,0.01647058823529412
69e59e520000000022027a90,3,61,1275,0.04784313725490196
69e59e520000000022027a90,4,117,1275,0.09176470588235294
69e59e520000000022027a90,5,127,1275,0.0996078431372549
69e59e520000000022027a90,6,185,1275,0.1450980392156863
69e59e520000000022027a90,7,56,1275,0.04392156862745098
69e59e520000000022027a90,8,198,1275,0.15529411764705883
69e59e520000000022027a90,9,38,1275,0.02980392156862745
69e59e520000000022027a90,10,108,1275,0.08470588235294117
69e59e520000000022027a90,11,36,1275,0.02823529411764706
69e6f2bc0000000023005345,0,34,245,0.13877551020408163
69e6f2bc0000000023005345,1,37,245,0.1510204081632653
69e6f2bc0000000023005345,2,16,245,0.0653061224489796
69e6f2bc0000000023005345,3,19,245,0.07755102040816327
69e6f2bc0000000023005345,4,9,245,0.036734693877551024
69e6f2bc0000000023005345,5,9,245,0.036734693877551024
69e6f2bc0000000023005345,6,18,245,0.07346938775510205
69e6f2bc0000000023005345,7,39,245,0.15918367346938775
69e6f2bc0000000023005345,8,9,245,0.036734693877551024
69e6f2bc0000000023005345,9,11,245,0.044897959183673466
69e6f2bc0000000023005345,10,26,245,0.10612244897959183
69e6f2bc0000000023005345,11,18,245,0.07346938775510205
