post_category,topic,mean_share_post_averaged,n_posts_in_category
弱势|保护者,0,0.2158273381294964,1
弱势|保护者,1,0.03597122302158273,1
弱势|保护者,2,0.18705035971223022,1
弱势|保护者,3,0.1079136690647482,1
弱势|保护者,4,0.11870503597122302,1
弱势|保护者,5,0.10431654676258993,1
弱势|保护者,6,0.2302158273381295,1
弱势|服务者,0,0.15601783060921248,1
弱势|服务者,1,0.08915304606240713,1
弱势|服务者,2,0.06983655274888559,1
弱势|服务者,3,0.029717682020802376,1
弱势|服务者,4,0.06835066864784546,1
弱势|服务者,5,0.11441307578008915,1
弱势|服务者,6,0.4725111441307578,1
弱势|观众,0,0.19725611456703893,3
弱势|观众,1,0.15419355621036293,3
弱势|观众,2,0.0725822450192198,3
弱势|观众,3,0.08262359489250246,3
弱势|观众,4,0.08076491202541623,3
弱势|观众,5,0.17761237828464718,3
弱势|观众,6,0.23496719900081242,3
