帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,3388,3693,0.917411318711075
69da7e87000000001a03484e,1,108,3693,0.02924451665312754
69da7e87000000001a03484e,2,57,3693,0.015434606011372868
69da7e87000000001a03484e,3,140,3693,0.037909558624424584
69e4412a000000002103883f,0,218,254,0.8582677165354331
69e4412a000000002103883f,1,10,254,0.03937007874015748
69e4412a000000002103883f,2,25,254,0.0984251968503937
69e4412a000000002103883f,3,1,254,0.003937007874015748
69e44278000000001a0217bb,0,203,211,0.9620853080568721
69e44278000000001a0217bb,1,3,211,0.014218009478672985
69e44278000000001a0217bb,2,4,211,0.018957345971563982
69e44278000000001a0217bb,3,1,211,0.004739336492890996
69e447d2000000001d01aa01,0,703,745,0.9436241610738255
69e447d2000000001d01aa01,1,14,745,0.01879194630872483
69e447d2000000001d01aa01,2,27,745,0.036241610738255034
69e447d2000000001d01aa01,3,1,745,0.0013422818791946308
69e44fbf000000001e00cc6a,0,7,7,1.0
69e4551e000000001f005895,0,212,232,0.9137931034482759
69e4551e000000001f005895,1,15,232,0.06465517241379311
69e4551e000000001f005895,2,5,232,0.021551724137931036
69e45dbe000000001f00434f,0,230,252,0.9126984126984127
69e45dbe000000001f00434f,1,2,252,0.007936507936507936
69e45dbe000000001f00434f,2,20,252,0.07936507936507936
69e463df000000001b003017,0,103,128,0.8046875
69e463df000000001b003017,1,7,128,0.0546875
69e463df000000001b003017,2,18,128,0.140625
69e46730000000001d0199c8,0,286,319,0.896551724137931
69e46730000000001d0199c8,1,6,319,0.018808777429467086
69e46730000000001d0199c8,2,27,319,0.08463949843260188
69e481e8000000002003ad94,0,5029,7101,0.7082101112519363
69e481e8000000002003ad94,1,1507,7101,0.21222363047458104
69e481e8000000002003ad94,2,538,7101,0.07576397690466131
69e481e8000000002003ad94,3,27,7101,0.0038022813688212928
69e48341000000001a02d0c4,0,523,555,0.9423423423423424
69e48341000000001a02d0c4,1,11,555,0.01981981981981982
69e48341000000001a02d0c4,2,19,555,0.03423423423423423
69e48341000000001a02d0c4,3,2,555,0.0036036036036036037
