post_category,topic,mean_share_post_averaged,n_posts_in_category
强势|服务者,0,0.10888194629311561,4
强势|服务者,1,0.03902988938627687,4
强势|服务者,2,0.020565331985841713,4
强势|服务者,3,0.02048156193444796,4
强势|服务者,4,0.028051102057994055,4
强势|服务者,5,0.27417396387227994,4
强势|服务者,6,0.0725956302815903,4
强势|服务者,7,0.02157756703039238,4
强势|服务者,8,0.015822533695166802,4
强势|服务者,9,0.016782296034801605,4
强势|服务者,10,0.028315176136943156,4
强势|服务者,11,0.01539968610457541,4
强势|服务者,12,0.014343690585416069,4
强势|服务者,13,0.0800461056736421,4
强势|服务者,14,0.018212381096901396,4
强势|服务者,15,0.0020610658052585456,4
强势|服务者,16,0.009062430073842023,4
强势|服务者,17,0.011111315427327503,4
强势|服务者,18,0.008571160308458762,4
强势|服务者,19,0.014817481529346936,4
强势|服务者,20,0.008037996457238954,4
强势|服务者,21,0.00854333118344675,4
强势|服务者,22,0.008041446558425492,4
强势|服务者,23,0.004643096889684493,4
强势|服务者,24,0.0030208100246140075,4
强势|服务者,25,0.0049228015215931975,4
强势|服务者,26,0.004531215036921011,4
强势|服务者,27,0.008095803772392824,4
强势|服务者,28,0.0024614007607965988,4
强势|服务者,29,0.008095803772392824,4
强势|服务者,30,0.0006712911165808906,4
强势|服务者,31,0.0079279809932476,4
强势|服务者,32,0.004746230271582108,4
强势|服务者,33,0.007239192934934977,4
强势|服务者,34,5.594092638174088e-05,4
强势|服务者,35,0.0026204750690759543,4
强势|服务者,36,0.0009981882040054689,4
强势|服务者,37,0.009973416245546544,4
强势|服务者,38,0.00011188185276348176,4
强势|服务者,39,0.03693252866149817,4
强势|服务者,40,0.00582130644488759,4
强势|服务者,41,0.00011188185276348176,4
强势|服务者,42,0.003227076788409237,4
强势|服务者,43,0.0030208100246140075,4
强势|服务者,44,0.004366842358962328,4
强势|服务者,45,0.00016782277914522266,4
强势|服务者,46,0.00011188185276348176,4
强势|服务者,47,0.028690302159861916,4
强势|服务者,48,0.002908928171850526,4
强势|服务者,49,0.0,4
强势|被超越者,0,0.03860741028882622,2
强势|被超越者,1,0.13687639793834486,2
强势|被超越者,2,0.06272488573373529,2
强势|被超越者,3,0.005494505494505495,2
强势|被超越者,4,0.050666148011280755,2
强势|被超越者,5,0.023193620538753283,2
强势|被超越者,6,0.03418263152776427,2
强势|被超越者,7,0.0,2
强势|被超越者,8,0.0,2
强势|被超越者,9,0.050666148011280755,2
强势|被超越者,10,0.009919284255567443,2
强势|被超越者,11,0.04181659048915686,2
强势|被超越者,12,0.0,2
强势|被超越者,13,0.009919284255567443,2
强势|被超越者,14,0.030973451327433628,2
强势|被超越者,15,0.005494505494505495,2
强势|被超越者,16,0.0,2
强势|被超越者,17,0.06943498978897208,2
强势|被超越者,18,0.004424778761061947,2
强势|被超越者,19,0.08820383156666342,2
强势|被超越者,20,0.0,2
强势|被超越者,21,0.0,2
强势|被超越者,22,0.019838568511134885,2
强势|被超越者,23,0.0,2
强势|被超越者,24,0.005494505494505495,2
强势|被超越者,25,0.005494505494505495,2
强势|被超越者,26,0.0,2
强势|被超越者,27,0.017699115044247787,2
强势|被超越者,28,0.03418263152776427,2
强势|被超越者,29,0.004424778761061947,2
强势|被超越者,30,0.004424778761061947,2
强势|被超越者,31,0.009919284255567443,2
强势|被超越者,32,0.0,2
强势|被超越者,33,0.019838568511134885,2
强势|被超越者,34,0.0,2
强势|被超越者,35,0.05523679859963046,2
强势|被超越者,36,0.0,2
强势|被超越者,37,0.023193620538753283,2
强势|被超越者,38,0.0,2
强势|被超越者,39,0.048526694544393664,2
强势|被超越者,40,0.0,2
强势|被超越者,41,0.004424778761061947,2
强势|被超越者,42,0.009919284255567443,2
强势|被超越者,43,0.0,2
强势|被超越者,44,0.048380822717105906,2
强势|被超越者,45,0.02090829524457843,2
强势|被超越者,46,0.0,2
强势|被超越者,47,0.0,2
强势|被超越者,48,0.005494505494505495,2
强势|被超越者,49,0.0,2
强势|观众,0,0.09142969340543373,5
强势|观众,1,0.12189087935628425,5
强势|观众,2,0.03980722818759554,5
强势|观众,3,0.04607352224898451,5
强势|观众,4,0.06159079334634547,5
强势|观众,5,0.005814336095082855,5
强势|观众,6,0.05527609629491485,5
强势|观众,7,0.0038852755194218615,5
强势|观众,8,0.004272479564032697,5
强势|观众,9,0.028986109667600173,5
强势|观众,10,0.028531225643633196,5
强势|观众,11,0.03552211287972511,5
强势|观众,12,0.013110639146739248,5
强势|观众,13,0.019919223524380227,5
强势|观众,14,0.015850801452994466,5
强势|观众,15,0.015133057161634286,5
强势|观众,16,0.0015587578673243588,5
强势|观众,17,0.018454958441360813,5
强势|观众,18,0.007397348199115876,5
强势|观众,19,0.029677429267340644,5
强势|观众,20,0.0004541326067211626,5
强势|观众,21,0.011964778289786362,5
强势|观众,22,0.005613933132973472,5
强势|观众,23,0.01025659908953577,5
强势|观众,24,0.006436182075193056,5
强势|观众,25,9.082652134423252e-05,5
强势|观众,26,0.005648487222767694,5
强势|观众,27,0.00027247956403269756,5
强势|观众,28,0.0037209336671023387,5
