帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic
69e463df000000001b003017,"

",3270.0,219.0,2,69e5b1e0000000001401ac13,69e5af30000000001401a00f,5ce9329d00000000160281b1,遥控的要加时间，加权后才是最终成绩,2026.04.20,河南,118.0,,17,强势|服务者,强势,服务者,6,强势成功,0
69e447d2000000001d01aa01,"当算法有了腿，程序员万万没想到……

",,2912.0,2,69e5ec700000000014019c1f,69e49549000000001401902c,5eb9567e000000000100057e,物理跟紧这个项目,2026.04.20,四川,109.0,,8,强势|服务者,强势,服务者,3,强势成功,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69dabac4000000000d037827,69dab64a0000000016015dcc,5f8804fb000000000100921c,今年分组别，自主导航组和遥控组，速度也都提升很大。,2026.04.12,美国,86.0,,25,强势|观众,强势,观众,9,强势成功,0
69e463df000000001b003017,"

",3270.0,219.0,1,69e5af30000000001401a00f,,5ffdda72000000000100a6c6,竟然是自主的夺冠了，遥控的怎么会输给自主[捂脸R],2026.04.20,山西,75.0,7.0,25,强势|服务者,强势,服务者,6,强势成功,0
69e481e8000000002003ad94,"

",,,2,69e48b8d000000001401c421,69e48adf000000001401b835,6672635e000000000d0257d0,这个前面的标签写的很清楚，是自主的。不是遥控。,2026.04.19,北京,63.0,,23,强势|服务者,强势,服务者,5,强势成功,0
69e46730000000001d0199c8,"

",,761.0,1,69e4b56c000000001401e82f,,657c35cc0000000020035899,也就是遥控玩具吧,2026.04.19,陕西,51.0,35.0,8,强势|观众,强势,观众,2,强势成功,0
69e4412a000000002103883f,"荣耀闪电队-齐天大圣夺冠！

",3517.0,445.0,2,69e4763b000000001401d416,69e475840000000014019008,5c124415f7e8b957900d0ee5,有30％是自主跑的，70％是遥控的,2026.04.19,北京,47.0,,17,强势|观众,强势,观众,4,强势成功,0
69e447d2000000001d01aa01,"当算法有了腿，程序员万万没想到……

",,2912.0,2,69e47e46000000001401bc1e,69e47dbc000000001401bc0e,66fa4bb8000000000d0272b6,这次有40％不用跑，看腰部贴纸写了“自主”的就是。以后会越来越多，你可以关注具身智能话题。,2026.04.19,上海,45.0,,45,强势|服务者,强势,服务者,10,强势成功,0
69e4551e000000001f005895,"荣耀机器人赢麻了🤖我觉得它表情在嘲讽我

",,816.0,2,69e4a4c6000000001401dc17,69e47f9e0000000014018803,5ceab7c3000000001102d391,不是的，这个是自主的，前三都是这个外形自主的，用时最快的是50分多，摔了一下48分多的那个是这个外形遥控的，遥控的需要1.2倍加权算最终成绩,2026.04.19,山东,43.0,,70,强势|被超越者,强势,被超越者,19,强势成功,0
69e46730000000001d0199c8,"

",,761.0,2,69e4dd1d000000001401e433,69e4db8c000000001401b823,62319693000000001000c401,有自主的和遥控的两个类别,2026.04.19,山西,43.0,,12,强势|观众,强势,观众,4,强势成功,0
69e447d2000000001d01aa01,"当算法有了腿，程序员万万没想到……

",,2912.0,2,69e45c8b000000001401b833,69e45575000000001401e004,630603ee000000001200298b,今年马拉松有自主/无遥控组,2026.04.19,江苏,40.0,,13,强势|服务者,强势,服务者,4,强势成功,0
69e481e8000000002003ad94,"

",,,1,69e5babd0000000014019c1f,,61760afe000000001f03d228,完全非自主，就是大号遥控玩具🪀,2026.04.20,广东,39.0,21.0,15,强势|服务者,强势,服务者,5,强势成功,0
69e481e8000000002003ad94,"

",,,2,69e5cb7c000000001401c821,69e5babd0000000014019c1f,5e61061000000000010051ff,上面都贴了自主，应该是补给的时候可以遥控，完了回到赛道后开始自主。官方都说了分为遥控和自主两个组。,2026.04.20,河南,35.0,,49,强势|服务者,强势,服务者,13,强势成功,0
69e463df000000001b003017,"

",3270.0,219.0,2,69e60002000000001401c019,69e5af30000000001401a00f,666e33cb0000000003031057,说实话，遥控的第一个冲线，但是遥控的成绩要乘1.2[笑哭R],2026.04.20,江西,28.0,,30,强势|服务者,强势,服务者,7,强势成功,0
69e46730000000001d0199c8,"

",,761.0,2,69e4f11b000000001401c027,69e4db8c000000001401b823,62e8ffa5000000001f006316,机器人分两个组别，一个是自主组一个是遥控组，而且遥控机器人也是机器人呀。,2026.04.19,广西,27.0,,36,强势|观众,强势,观众,8,强势成功,0
69e48341000000001a02d0c4,"机器人马拉松，我们看乐了，西方人看破防了🤣

",3931.0,1022.0,2,69e56c99000000001401c003,69e5690a000000001401c001,63e77c2600000000260119bb,让您失望了，40%自主的,2026.04.20,陕西,26.0,,12,强势|观众,强势,观众,3,强势成功,0
69e481e8000000002003ad94,"

",,,2,69e48bc5000000001401d825,69e48adf000000001401b835,63954af4000000002702b22c,紫色衣服拿那么大个遥控跟着跑,2026.04.19,重庆,20.0,,14,强势|服务者,强势,服务者,5,强势成功,0
69e481e8000000002003ad94,"

",,,2,69e4927b000000001401c01a,69e490bc000000001401ac0d,5e14419700000000010085c2,有两组 一个自主一个遥控 按照1 和1.2复权,2026.04.19,新西兰,18.0,,23,强势|服务者,强势,服务者,6,强势成功,0
69e481e8000000002003ad94,"

",,,2,69e48d77000000001401c01f,69e48cf30000000014018c28,55600248c2bdeb2494be1082,这不是遥控的，这是自主跑的,2026.04.19,北京,18.0,,13,强势|服务者,强势,服务者,2,强势成功,0
69e463df000000001b003017,"

",3270.0,219.0,2,69e5b9010000000014018c1b,69e5af30000000001401a00f,565eff9a82ec3924d4ee5238,遥控的时间要乘1.2,2026.04.20,江苏,17.0,,10,强势|服务者,强势,服务者,3,强势成功,0
69e463df000000001b003017,"

",3270.0,219.0,2,69e4c24c000000001401c419,69e4b196000000001401a001,635492b5000000001802d09c,自主组的第九号,2026.04.19,河南,17.0,,7,强势|服务者,强势,服务者,2,强势成功,0
69e48341000000001a02d0c4,"机器人马拉松，我们看乐了，西方人看破防了🤣

",3931.0,1022.0,2,69e5a9970000000014019414,69e5690a000000001401c001,64e442fc000000000100641d,有两个组别，自主导航和遥控的。遥控组的冠军最终成绩是48分19秒。自主导航组的冠军稍微慢一点，跑了50分26秒。这两个成绩都超越了人类的世界记录。,2026.04.20,上海,17.0,,73,强势|观众,强势,观众,24,强势成功,0
69e481e8000000002003ad94,"

",,,2,69e48ff5000000001401900c,69e48adf000000001401b835,63ff29a3000000001001dab0,两个组，自主导航和遥控组，这个是自主导航组的,2026.04.19,江苏,16.0,,22,强势|服务者,强势,服务者,6,强势成功,0
69e481e8000000002003ad94,"

",,,1,69e49908000000001401bc36,,604db7120000000001005e8f,拿遥控这小哥不得累死,2026.04.19,四川,15.0,4.0,10,强势|服务者,强势,服务者,4,强势成功,0
69e463df000000001b003017,"

",3270.0,219.0,2,69e5b0b8000000001401bc26,69e5af30000000001401a00f,5bceda9af7e8b96d17330340,遥控要加权,2026.04.20,广东,15.0,,5,强势|服务者,强势,服务者,2,强势成功,0
69e481e8000000002003ad94,"

",,,1,69e48adf000000001401b835,,61ea6f0200000000100073d3,全程要人遥控控制？,2026.04.19,广东,13.0,37.0,9,强势|服务者,强势,服务者,4,强势成功,0
69e45dbe000000001f00434f,"机器人跑马拉松超越人类？

",4650.0,773.0,2,69e4dbdf000000001401e827,69e4ac4c0000000014019407,5f9199ce000000000101cb9f,夺冠的前三名都是自主的,2026.04.19,四川,12.0,,11,强势|观众,强势,观众,3,强势成功,0
69e481e8000000002003ad94,"

",,,1,69e490bc000000001401ac0d,,693a4be40000000039012711,后面人拿的不是遥控器吗？,2026.04.19,辽宁,11.0,19.0,12,强势|服务者,强势,服务者,3,强势成功,0
69e45dbe000000001f00434f,"机器人跑马拉松超越人类？

",4650.0,773.0,2,69e56038000000001401e808,69e51ffc000000001401ac00,60bc4ea30000000001005a02,不懂就别乱喷，今年半数自主导航,2026.04.20,广西,11.0,,15,强势|观众,强势,观众,5,强势成功,0
69e447d2000000001d01aa01,"当算法有了腿，程序员万万没想到……

",,2912.0,2,69e4f7c3000000001401980c,69e4ace1000000001401b02e,5b121f91e8ac2b19ad66de2f,分自主跟遥控两组,2026.04.19,广东,11.0,,8,强势|服务者,强势,服务者,3,强势成功,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69da9a3500000000010073ef,,5991139c50c4b459b6942b69,我就知道是因为你小子使劲儿跑步呢[生气R][生气R],2026.04.12,北京,1046.0,36.0,26,强势|观众,强势,观众,5,强势成功,1
69e45dbe000000001f00434f,"机器人跑马拉松超越人类？

",4650.0,773.0,2,69e4e324000000001401b024,69e4e279000000001401a41b,5ea82e9700000000010093f0,轻松优雅最像人类,2026.04.19,北京,365.0,,8,强势|观众,强势,观众,4,强势成功,1
69e46730000000001d0199c8,"

",,761.0,1,69e4d3db000000001401b839,,621b75550000000021021d38,这个最像人跑步👍,2026.04.19,广东,254.0,8.0,8,强势|观众,强势,观众,3,强势成功,1
69e45dbe000000001f00434f,"机器人跑马拉松超越人类？

",4650.0,773.0,2,69e4e5fc000000001401a811,69e4e279000000001401a41b,656bcc32000000001902e486,我真惊讶了，最像人,2026.04.19,广东,109.0,,9,强势|观众,强势,观众,3,强势成功,1
69e4551e000000001f005895,"荣耀机器人赢麻了🤖我觉得它表情在嘲讽我

",,816.0,2,69e486e2000000001401a003,69e47f9e0000000014018803,63239ad8000000002303db4d,太疯狂了[捂脸R][捂脸R][捂脸R]48分钟我还在10公里处,2026.04.19,北京,98.0,,31,强势|被超越者,强势,被超越者,5,强势成功,1
69e4551e000000001f005895,"荣耀机器人赢麻了🤖我觉得它表情在嘲讽我

",,816.0,1,69e47f9e0000000014018803,,6673c5c80000000007006bbc,没看清，这是多少配速,2026.04.19,山西,78.0,11.0,10,强势|被超越者,强势,被超越者,3,强势成功,1
69e4551e000000001f005895,"荣耀机器人赢麻了🤖我觉得它表情在嘲讽我

",,816.0,2,69e5087a000000001401c819,69e5051f000000001401c419,5c6d3332000000001001161c,48分钟二十公里[笑哭R]我觉得人应该没那么快,2026.04.20,浙江,68.0,,23,强势|被超越者,强势,被超越者,4,强势成功,1
69e4551e000000001f005895,"荣耀机器人赢麻了🤖我觉得它表情在嘲讽我

",,816.0,2,69e48a13000000001401940a,69e47f9e0000000014018803,5bfff069000000000701b757,它真的超级快[捂脸R]快到有点反应不过来,2026.04.19,北京,51.0,,20,强势|被超越者,强势,被超越者,5,强势成功,1
69e45dbe000000001f00434f,"机器人跑马拉松超越人类？

",4650.0,773.0,2,69e501c50000000014018803,69e4e279000000001401a41b,62bfd886000000001b029a9e,体态最好[偷笑R],2026.04.20,广东,50.0,,9,强势|观众,强势,观众,2,强势成功,1
69e4551e000000001f005895,"荣耀机器人赢麻了🤖我觉得它表情在嘲讽我

",,816.0,1,69e48b36000000001401c808,,5976af1d6a6a695142bde0d9,这速度好像堪比电瓶车，估计有50-60码了,2026.04.19,浙江,38.0,4.0,21,强势|被超越者,强势,被超越者,7,强势成功,1
69e4551e000000001f005895,"荣耀机器人赢麻了🤖我觉得它表情在嘲讽我

",,816.0,1,69e47395000000001401e037,,6340e2bd000000001802c875,喘气儿的跑不过烧电的！,2026.04.19,山西,36.0,1.0,11,强势|被超越者,强势,被超越者,3,强势成功,1
69e46730000000001d0199c8,"

",,761.0,2,69e52c01000000001401e000,69e52051000000001401bc02,62fcf4df00000000120012b0,对50分撞线，超级快,2026.04.20,北京,36.0,,10,强势|观众,强势,观众,3,强势成功,1
69e46730000000001d0199c8,"

",,761.0,1,69e4ba66000000001401c80f,,66e5a91f000000000b031b4e,第三个有一点点像薛之谦，别打我[捂脸R],2026.04.19,北京,35.0,4.0,20,强势|观众,强势,观众,4,强势成功,1
69e481e8000000002003ad94,"

",,,2,69e5a398000000001401dc26,69e4a4c50000000014018c1e,5b5ed4de6b58b70ab1faab60,幼儿跑步的时候，也一样一个台阶就废,2026.04.20,北京,28.0,,17,强势|服务者,强势,服务者,4,强势成功,1
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69daf33f00000000350230e1,69daf1a9000000000103c4f0,64d071ac000000000e025281,以后穿上361就没声音了,2026.04.12,山东,26.0,,12,强势|观众,强势,观众,2,强势成功,1
69e45dbe000000001f00434f,"机器人跑马拉松超越人类？

",4650.0,773.0,2,69e50dbb000000001401e410,69e50619000000001401ac01,5b58a9244eacab5b7a338705,现在能这样跑20公里 以后就能在月球上跑20公里,2026.04.20,广东,15.0,,24,强势|观众,强势,观众,6,强势成功,1
69e46730000000001d0199c8,"

",,761.0,1,69e5ca520000000014018c0d,,5f30b7960000000001008fb7,这几个最像跑马拉松跑不动了,2026.04.20,广东,13.0,3.0,13,强势|观众,强势,观众,4,强势成功,1
69e4412a000000002103883f,"荣耀闪电队-齐天大圣夺冠！

",3517.0,445.0,1,69e460fe000000001401c835,,5c167c930000000006037e3a,真有个跑的披头散发的[笑哭R],2026.04.19,福建,12.0,2.0,15,强势|观众,强势,观众,2,强势成功,1
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69daf17400000000150002d0,69daef220000000035024590,5cd0b61b0000000016017d08,背着跑比坐救护车更体面是吗[黑薯问号R],2026.04.12,上海,12.0,,20,强势|观众,强势,观众,3,强势成功,1
69e45dbe000000001f00434f,"机器人跑马拉松超越人类？

",4650.0,773.0,1,69e719b70000000014019429,,57b11d0aa9b2ed1ab459f532,第一个感觉好快,2026.04.21,江苏,11.0,2.0,7,强势|观众,强势,观众,2,强势成功,1
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69dafce500000000020289b3,69dafc3a0000000035010a34,65ad2140000000001302f49d,这个跑步动作标准，身体前倾,2026.04.12,浙江,11.0,,13,强势|观众,强势,观众,5,强势成功,1
69e45dbe000000001f00434f,"机器人跑马拉松超越人类？

",4650.0,773.0,2,69e5c1b20000000014018004,69e5bbf30000000014018c1e,5a9ab361e8ac2b6e8eda1c8b,还有网友让小派穿那种走路时[失望R]踩下去带声音的宝宝鞋,2026.04.20,浙江,9.0,,28,强势|观众,强势,观众,7,强势成功,1
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69daee3b000000000d035292,69dac8d7000000000c0319f8,608840160000000001005fe4,前摆高度不够呢，这个是膝主导跑法,2026.04.12,上海,8.0,,16,强势|观众,强势,观众,4,强势成功,1
69e4551e000000001f005895,"荣耀机器人赢麻了🤖我觉得它表情在嘲讽我

",,816.0,2,69e823730000000014019822,69e5051f000000001401c419,5b944d20c327a90001bd64de,它们这应该是类人跑记录的创造者。,2026.04.22,河北,7.0,,16,强势|被超越者,强势,被超越者,3,强势成功,1
69e48341000000001a02d0c4,"机器人马拉松，我们看乐了，西方人看破防了🤣

",3931.0,1022.0,2,69e4b48f000000001401c805,69e4a6ec000000001401a013,5c336a0f0000000007013417,那个我怎么看怎么像奔跑的烤鸡,2026.04.19,湖南,7.0,,14,强势|观众,强势,观众,2,强势成功,1
69e4551e000000001f005895,"荣耀机器人赢麻了🤖我觉得它表情在嘲讽我

",,816.0,1,69e4959d000000001401a027,,5ab1faf311be10423602072c,我追了一个 415的配速 累死我了,2026.04.19,北京,6.0,2.0,17,强势|被超越者,强势,被超越者,3,强势成功,1
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e88206000000001401e421,,591622066a6a693a393e7ef2,大哥，看您这个视频好欢乐呀，您边跑边看热闹的这状态真好[偷笑R],2026.04.22,湖南,5.0,1.0,32,强势|被超越者,强势,被超越者,5,强势成功,1
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69db6a20000000003501f3f1,,61d6ca8a000000001000a915,第四个才是人类跑步的姿势[笑哭R],2026.04.12,山东,5.0,1.0,17,强势|观众,强势,观众,4,强势成功,1
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69dafdfa000000003501f893,,5bc8164c135a4700015658e1,感觉最后一个跑步姿势相对正确，重心也靠前，是往前冲的那种。别的都是坐姿跑,2026.04.12,河北,5.0,1.0,36,强势|观众,强势,观众,10,强势成功,1
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69dade1b000000000d03f669,,5fd0db310000000001006ce5,速度都起来了,2026.04.12,北京,5.0,1.0,6,强势|观众,强势,观众,2,强势成功,1
69e481e8000000002003ad94,"

",,,2,69e71e44000000001401a023,69e71b47000000001401ac15,5c580827000000001103107a,打仗时候可以绑炸弹冲在前面，火场救援，灾区救援,2026.04.21,河南,290.0,,23,强势|服务者,强势,服务者,7,强势成功,2
69e481e8000000002003ad94,"

",,,2,69e493050000000014019008,69e490ae000000001401d42a,67fb1389000000000e011fa0,为巷战、为丛林战做准备。,2026.04.19,湖南,217.0,,12,强势|服务者,强势,服务者,3,强势成功,2
