帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,769,4053,0.18973599802615346
69da7e87000000001a03484e,1,865,4053,0.21342215642733778
69da7e87000000001a03484e,2,1045,4053,0.25783370342955836
69da7e87000000001a03484e,3,109,4053,0.02689365901801135
69da7e87000000001a03484e,4,217,4053,0.0535405872193437
69da7e87000000001a03484e,5,435,4053,0.1073279052553664
69da7e87000000001a03484e,6,269,4053,0.06637058968665187
69da7e87000000001a03484e,7,283,4053,0.0698248211201579
69da7e87000000001a03484e,8,61,4053,0.015050579817419196
69e4412a000000002103883f,0,52,294,0.17687074829931973
69e4412a000000002103883f,1,61,294,0.20748299319727892
69e4412a000000002103883f,2,91,294,0.30952380952380953
69e4412a000000002103883f,3,10,294,0.034013605442176874
69e4412a000000002103883f,4,19,294,0.06462585034013606
69e4412a000000002103883f,5,16,294,0.05442176870748299
69e4412a000000002103883f,6,10,294,0.034013605442176874
69e4412a000000002103883f,7,10,294,0.034013605442176874
69e4412a000000002103883f,8,25,294,0.08503401360544217
69e44278000000001a0217bb,0,66,226,0.2920353982300885
69e44278000000001a0217bb,1,66,226,0.2920353982300885
69e44278000000001a0217bb,2,34,226,0.1504424778761062
69e44278000000001a0217bb,3,3,226,0.01327433628318584
69e44278000000001a0217bb,4,11,226,0.048672566371681415
69e44278000000001a0217bb,5,22,226,0.09734513274336283
69e44278000000001a0217bb,6,13,226,0.05752212389380531
69e44278000000001a0217bb,7,7,226,0.030973451327433628
69e44278000000001a0217bb,8,4,226,0.017699115044247787
69e447d2000000001d01aa01,0,135,891,0.15151515151515152
69e447d2000000001d01aa01,1,78,891,0.08754208754208755
69e447d2000000001d01aa01,2,86,891,0.09652076318742986
69e447d2000000001d01aa01,3,14,891,0.015712682379349047
69e447d2000000001d01aa01,4,442,891,0.49607182940516276
69e447d2000000001d01aa01,5,19,891,0.02132435465768799
69e447d2000000001d01aa01,6,42,891,0.04713804713804714
69e447d2000000001d01aa01,7,12,891,0.013468013468013467
69e447d2000000001d01aa01,8,63,891,0.0707070707070707
69e44fbf000000001e00cc6a,0,1,8,0.125
69e44fbf000000001e00cc6a,1,1,8,0.125
69e44fbf000000001e00cc6a,4,5,8,0.625
69e44fbf000000001e00cc6a,6,1,8,0.125
69e4551e000000001f005895,0,30,245,0.12244897959183673
69e4551e000000001f005895,1,53,245,0.2163265306122449
69e4551e000000001f005895,2,78,245,0.3183673469387755
69e4551e000000001f005895,3,15,245,0.061224489795918366
69e4551e000000001f005895,4,16,245,0.0653061224489796
69e4551e000000001f005895,5,33,245,0.1346938775510204
69e4551e000000001f005895,6,3,245,0.012244897959183673
69e4551e000000001f005895,7,12,245,0.04897959183673469
69e4551e000000001f005895,8,5,245,0.02040816326530612
69e45dbe000000001f00434f,0,47,334,0.1407185628742515
69e45dbe000000001f00434f,1,64,334,0.19161676646706588
69e45dbe000000001f00434f,2,83,334,0.24850299401197604
69e45dbe000000001f00434f,3,3,334,0.008982035928143712
69e45dbe000000001f00434f,4,21,334,0.06287425149700598
69e45dbe000000001f00434f,5,25,334,0.0748502994011976
69e45dbe000000001f00434f,6,6,334,0.017964071856287425
69e45dbe000000001f00434f,7,11,334,0.03293413173652695
69e45dbe000000001f00434f,8,20,334,0.059880239520958084
69e45dbe000000001f00434f,9,54,334,0.16167664670658682
69e463df000000001b003017,0,24,153,0.1568627450980392
69e463df000000001b003017,1,24,153,0.1568627450980392
69e463df000000001b003017,2,58,153,0.3790849673202614
69e463df000000001b003017,3,7,153,0.0457516339869281
69e463df000000001b003017,4,9,153,0.058823529411764705
69e463df000000001b003017,5,6,153,0.0392156862745098
69e463df000000001b003017,6,1,153,0.006535947712418301
69e463df000000001b003017,7,4,153,0.026143790849673203
69e463df000000001b003017,8,20,153,0.13071895424836602
69e46730000000001d0199c8,0,78,399,0.19548872180451127
69e46730000000001d0199c8,1,140,399,0.3508771929824561
69e46730000000001d0199c8,2,99,399,0.24812030075187969
69e46730000000001d0199c8,3,6,399,0.015037593984962405
69e46730000000001d0199c8,4,13,399,0.03258145363408521
69e46730000000001d0199c8,5,16,399,0.040100250626566414
69e46730000000001d0199c8,6,14,399,0.03508771929824561
69e46730000000001d0199c8,7,5,399,0.012531328320802004
69e46730000000001d0199c8,8,28,399,0.07017543859649122
69e481e8000000002003ad94,0,1387,7553,0.18363564146696676
69e481e8000000002003ad94,1,881,7553,0.11664239375082748
69e481e8000000002003ad94,2,580,7553,0.07679067920031775
69e481e8000000002003ad94,3,1533,7553,0.20296570898980537
69e481e8000000002003ad94,4,621,7553,0.08221898583344367
69e481e8000000002003ad94,5,775,7553,0.10260823513835562
69e481e8000000002003ad94,6,781,7553,0.10340262147491062
69e481e8000000002003ad94,7,446,7553,0.05904938435058917
69e481e8000000002003ad94,8,549,7553,0.07268634979478353
69e48341000000001a02d0c4,0,120,676,0.17751479289940827
69e48341000000001a02d0c4,1,142,676,0.21005917159763313
69e48341000000001a02d0c4,2,123,676,0.1819526627218935
69e48341000000001a02d0c4,3,11,676,0.016272189349112426
69e48341000000001a02d0c4,4,27,676,0.03994082840236687
69e48341000000001a02d0c4,5,41,676,0.060650887573964495
69e48341000000001a02d0c4,6,108,676,0.15976331360946747
69e48341000000001a02d0c4,7,85,676,0.1257396449704142
69e48341000000001a02d0c4,8,19,676,0.028106508875739646
