topic,top_terms,size
0,"机器人, 人类, 跑步, 人, 需要, 为了, 服务, 工作, 人形机器人, 加油, 设计, 人家, 比如, 替代, 代替",2186
1,"人, 遥控, 机器人, 跟着, 机器, 后面, 自主, 遥控器, 马拉松, 不用, 还要, 起来, 几个, 玩具, 个人",1803
2,"马拉松, 机器人, 程序员, 是不是, 外卖, 工程师, 电池, 日本, 可爱, 背着, 不行, 公里, 发动机, 中国, 续航",1375
3,"轮子, 人形, 散热, 降温, 冰块, 地形, 更快, 关节, 问题, 复杂, 润滑, 喷雾, 设计, 平衡, 做成",1789
4,"意义, 机器人, 人, 一样, 为什么, 比赛, 伺候, 评论, 三个, 赛车, 干嘛, 美国, 希望, 有意义, 真人",1480
5,"机器人, 玩意, 战场, 最后, 姿势, 跑步, 以为, 这些, 哪里, 亦庄, 荣耀, 一步, 两个, wd40, ai",1227
6,"降温, 机器人, 补给, 厉害, 干冰, 要是, 程序, 开车, 东西, 程序员, 过去, 终结者, 越来越, 跑得快, 宇树",1273
7,"机器人, 测试, 技术, f1, 膝盖, 比赛, 一下, 只是, 发展, 无人机, 看着, 确实, 肯定, 未来, 解说",1332
8,"去年, 发展, 知道, 进步, 机器人, 科技, 今年, 这样, 进化, 看看, 一年, 速度, 太快, 有没有, 跑步",1207
9,"汽车, 机器人, 好像, 人, 真的, 速度, 自动, 搞笑, 发明, 视频, 停下来, 一样, 没用, 摔倒, 驾驶",1160
