post_category,topic,mean_share_post_averaged,n_posts_in_category
强势|服务者,0,0.06083292948400437,4
强势|服务者,1,0.19469739493954,4
强势|服务者,2,0.0944883790383436,4
强势|服务者,3,0.07996577137109856,4
强势|服务者,4,0.10354517689002687,4
强势|服务者,5,0.08661776048233644,4
强势|服务者,6,0.08659730606340577,4
强势|服务者,7,0.05452144035890788,4
强势|服务者,8,0.0763245346209556,4
强势|服务者,9,0.050032530838106076,4
强势|服务者,10,0.058303804760218646,4
强势|服务者,11,0.0540729711530562,4
强势|被超越者,0,0.16467401119739933,2
强势|被超越者,1,0.07503160556257901,2
强势|被超越者,2,0.08149720065017158,2
强势|被超越者,3,0.044229727289145745,2
强势|被超越者,4,0.1102402022756005,2
强势|被超越者,5,0.07451688640057794,2
强势|被超越者,6,0.09629763409788694,2
强势|被超越者,7,0.07569983745710673,2
强势|被超越者,8,0.07825537294563843,2
强势|被超越者,9,0.07842694599963879,2
强势|被超越者,10,0.05681777135633014,2
强势|被超越者,11,0.06431280476792486,2
强势|观众,0,0.12819437995252858,5
强势|观众,1,0.0649980587767546,5
强势|观众,2,0.09111727579909272,5
强势|观众,3,0.04261690618585725,5
强势|观众,4,0.09163129180568177,5
强势|观众,5,0.09392256933649723,5
强势|观众,6,0.0569480436364884,5
强势|观众,7,0.07769529406765249,5
强势|观众,8,0.10995150326066974,5
强势|观众,9,0.07023251734154444,5
强势|观众,10,0.0921673297394969,5
强势|观众,11,0.0805248300977359,5
