post_category,topic,mean_share_post_averaged,n_posts_in_category
强势|服务者,0,0.12492361913576183,4
强势|服务者,1,0.04509789892497192,4
强势|服务者,2,0.06244138219096877,4
强势|服务者,3,0.03341026640105308,4
强势|服务者,4,0.06159909378666762,4
强势|服务者,5,0.21470489452712463,4
强势|服务者,6,0.17779711451457259,4
强势|服务者,7,0.1258545122161352,4
强势|服务者,8,0.05445332069475703,4
强势|服务者,9,0.09971789760798738,4
强势|被超越者,0,0.20876828607549214,2
强势|被超越者,1,0.10770272710854253,2
强势|被超越者,2,0.06667870688098249,2
强势|被超越者,3,0.01649810366624526,2
强势|被超越者,4,0.13438685208596712,2
强势|被超越者,5,0.12929384143037748,2
强势|被超越者,6,0.025347661188369154,2
强势|被超越者,7,0.0981668773704172,2
强势|被超越者,8,0.14783276142315332,2
强势|被超越者,9,0.06532418277045332,2
强势|观众,0,0.1970007461117669,5
强势|观众,1,0.09794493374669079,5
强势|观众,2,0.06253428721674996,5
强势|观众,3,0.01637672823855405,5
强势|观众,4,0.17908804085385735,5
强势|观众,5,0.1093821813067601,5
强势|观众,6,0.0490067893505339,5
强势|观众,7,0.1457666938183497,5
强势|观众,8,0.093545372031357,5
强势|观众,9,0.04935422732538026,5
