帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,830,4053,0.20478657784357265
69da7e87000000001a03484e,1,319,4053,0.07870713052060202
69da7e87000000001a03484e,2,95,4053,0.023439427584505304
69da7e87000000001a03484e,3,55,4053,0.013570194917345176
69da7e87000000001a03484e,4,337,4053,0.08314828522082408
69da7e87000000001a03484e,5,271,4053,0.06686405132000987
69da7e87000000001a03484e,6,112,4053,0.027633851468048358
69da7e87000000001a03484e,7,599,4053,0.14779175919072293
69da7e87000000001a03484e,8,387,4053,0.09548482605477424
69da7e87000000001a03484e,9,159,4053,0.03923019985196151
69da7e87000000001a03484e,10,600,4053,0.14803849000740193
69da7e87000000001a03484e,11,289,4053,0.07130520602023192
69e4412a000000002103883f,0,53,294,0.18027210884353742
69e4412a000000002103883f,1,40,294,0.1360544217687075
69e4412a000000002103883f,2,29,294,0.09863945578231292
69e4412a000000002103883f,3,6,294,0.02040816326530612
69e4412a000000002103883f,4,32,294,0.10884353741496598
69e4412a000000002103883f,5,10,294,0.034013605442176874
69e4412a000000002103883f,6,12,294,0.04081632653061224
69e4412a000000002103883f,7,23,294,0.0782312925170068
69e4412a000000002103883f,8,20,294,0.06802721088435375
69e4412a000000002103883f,9,18,294,0.061224489795918366
69e4412a000000002103883f,10,35,294,0.11904761904761904
69e4412a000000002103883f,11,16,294,0.05442176870748299
69e44278000000001a0217bb,0,61,226,0.26991150442477874
69e44278000000001a0217bb,1,31,226,0.13716814159292035
69e44278000000001a0217bb,2,7,226,0.030973451327433628
69e44278000000001a0217bb,3,1,226,0.004424778761061947
69e44278000000001a0217bb,4,20,226,0.08849557522123894
69e44278000000001a0217bb,5,22,226,0.09734513274336283
69e44278000000001a0217bb,6,5,226,0.022123893805309734
69e44278000000001a0217bb,7,20,226,0.08849557522123894
69e44278000000001a0217bb,8,20,226,0.08849557522123894
69e44278000000001a0217bb,9,12,226,0.05309734513274336
69e44278000000001a0217bb,10,14,226,0.061946902654867256
69e44278000000001a0217bb,11,13,226,0.05752212389380531
69e447d2000000001d01aa01,0,92,891,0.10325476992143659
69e447d2000000001d01aa01,1,36,891,0.04040404040404041
69e447d2000000001d01aa01,2,33,891,0.037037037037037035
69e447d2000000001d01aa01,3,7,891,0.007856341189674524
69e447d2000000001d01aa01,4,21,891,0.02356902356902357
69e447d2000000001d01aa01,5,44,891,0.04938271604938271
69e447d2000000001d01aa01,6,45,891,0.050505050505050504
69e447d2000000001d01aa01,7,51,891,0.05723905723905724
69e447d2000000001d01aa01,8,38,891,0.04264870931537598
69e447d2000000001d01aa01,9,17,891,0.019079685746352413
69e447d2000000001d01aa01,10,54,891,0.06060606060606061
69e447d2000000001d01aa01,11,453,891,0.5084175084175084
69e44fbf000000001e00cc6a,6,3,8,0.375
69e44fbf000000001e00cc6a,7,1,8,0.125
69e44fbf000000001e00cc6a,9,1,8,0.125
69e44fbf000000001e00cc6a,10,1,8,0.125
69e44fbf000000001e00cc6a,11,2,8,0.25
69e4551e000000001f005895,0,33,245,0.1346938775510204
69e4551e000000001f005895,1,12,245,0.04897959183673469
69e4551e000000001f005895,2,19,245,0.07755102040816327
69e4551e000000001f005895,3,7,245,0.02857142857142857
69e4551e000000001f005895,4,24,245,0.09795918367346938
69e4551e000000001f005895,5,26,245,0.10612244897959183
69e4551e000000001f005895,6,6,245,0.024489795918367346
69e4551e000000001f005895,7,13,245,0.053061224489795916
69e4551e000000001f005895,8,27,245,0.11020408163265306
