post_category,comment_level,like_count,content
"humane,nohuman",2,8904.0,为以后做准备，复杂地形，废墟，山地，城市，你懂的[偷笑R]。之后还会有多足机器人，那玩意可就吓人了
"strong,nohuman",1,4613.0,你们这些说机器人跑步没用的人。想想你们老的走不动路的时候。突然心梗 机器人就可以飞一样背着去医院。
"weak,human",1,3268.0,这个程序员也长得很小，有点清澈的孩子气，新的人搂着新的机器人，一代年轻人更比一代强，中国一定会越来越好
"strong,human",2,3219.0,据我今天刷到的不完全统计：在摔倒的机器人对手旁边鼓掌，给观众跳舞，最后没电坐上了救护车
"weak,human",1,2706.0,我还以为是机器人医生来救人[笑哭R]
"lovely,nohuman",1,2636.0,笑死🤣这个机器人刚刚从我面前过去了，它没跑了
"weak,nohuman",2,2132.0,这是人形机器人，你说的那种是另一种机器人。
"lovely,nohuman",1,2088.0,名次不重要、流量才是最重要的，那么多机器人只记得这个小鼻嘎了[捂脸R]
"weak,human",1,1887.0,我有救了，以后失业可以去抬坏机器人
all,2,1561.0,任何事物都是需要通过实践后一步步进化，透过现象看本质，其实就是掌握先进技术，研发机器人技术是目前社会必须的技术鸭
"weak,nohuman",2,1326.0,是的 小机器人没完赛[捂脸R] 完美小孩
"strong,nohuman",2,1203.0,他们有时候还会给这玩意穿个带反光条的上衣！但是没有裤子！远远的就听见声音了，它跑过来才看到是个没穿裤子的机器人！
"humane,nohuman",1,1144.0,一个机器人需要3个人伺候，就业新方向来了
"weak,nohuman",1,924.0,这AI吧，不可能啊，机器人怎么摔下也不至于摔成这样，碎哪里都是渣，我儿子的玩具从4楼掉下去都没掉渣，就是变形了
all,1,715.0,从这个机器人的跑步姿势上看出了性别[笑哭R][笑哭R][笑哭R][笑哭R]
all,2,634.0,机器人也是人[大笑R]
"weak,human",2,634.0,这小机器人坐得略显拘谨啊[笑哭R]
all,2,559.0,其实就和摩托车，赛车比赛一样。对普通观众来说，不过是速度与激情的玩物。但会大力提升，刺激  汽车，摩托等相关产业部件的发展 。而一个稳定强，续航性强，可以翻山越岭的，无视地形的机器人  如果作为国防力量[doge]
"weak,nohuman",2,558.0,这个我觉得是真实视频，因为看见过其他视角的。这跟机器人材质和重量有关吧，我觉得这个程度摔一下还是可能会碎的
"weak,nohuman",1,548.0,机器人为什么一定要做成人的形状？为什么不能做成四个轮子着地的，兼顾稳定性和速度，然后加上某种液体就能跑起来
"strong,nohuman",1,537.0,假如，我是说假如，某一天，机器人造反了，我们会不会连开车都追不上了[笑哭R]
"weak,nohuman",2,486.0,小机器人太小，奶量不足。
"weak,nohuman",1,485.0,这小孩儿后来跑缺电了，蹲地上换电池的时候，被另一个机器人停下来围观，还被他幸灾乐祸地鼓掌来着
"lovely,nohuman",2,426.0,这个小机器人摔倒还能自己起来呢[派对R]
"strong,nohuman",1,405.0,荣耀那个机器人跑的是真快
all,2,404.0,因为你不在那个圈子里，如果你是研发机器人的一员就能懂了。圈外人通常不经历过程只享受结果，所以偶尔会无法理解过程中进化的一切
"weak,human",1,384.0,机器人抢救团队—爱回收
"strong,nohuman",1,361.0,上次见机器人跑步视频，还是两个肥仔在旁边跟着呢。现在这个视频要是没加速，估计程序员跟不上了[笑哭R]
"weak,human",1,359.0,机器人老了可怎么办[doge]
"lovely,nohuman",1,351.0,我刚才刷到它摔了，被别的机器人看热闹还鼓掌的营销号[捂脸R]
"humane,nohuman",1,339.0,一个机器人，三个人服侍它，以后不怕没岗位啦[偷笑R]
all,1,295.0,我不是很懂，为啥要弄机器人跑步，花费这么多人力物力财力的意义是什么，（纯纯问，无恶意哈）
"strong,human",1,271.0,机器人：碳基生物真是太菜了[偷笑R]
"strong,human",1,229.0,宇树机器人成绩呢
"strong,nohuman",2,228.0,外骨骼机器人让你自己跑去医院途中顺便给你心肺复苏[doge]
"strong,nohuman",2,227.0,到那天，车也是机器人。还敢开车，躲还来不及[doge]
