topic,post_category,count,share
0,强势|服务者,305,0.3028798411122145
0,成功|观众,191,0.18967229394240318
0,中性|观众,154,0.1529294935451837
0,all,136,0.13505461767626614
0,失败|抢救者,112,0.1112214498510427
0,弱势|观众,52,0.05163853028798411
0,成功|被超越者,29,0.028798411122144985
0,弱势|同伴,20,0.019860973187686197
0,中性|评价者,4,0.003972194637537239
0,失败|观众,4,0.003972194637537239
1,强势|服务者,245,0.3465346534653465
1,成功|观众,185,0.26166902404526166
1,all,71,0.10042432814710042
1,弱势|观众,54,0.07637906647807638
1,中性|观众,53,0.07496463932107496
1,失败|抢救者,49,0.06930693069306931
1,成功|被超越者,25,0.03536067892503536
1,弱势|同伴,19,0.026874115983026876
1,中性|评价者,5,0.007072135785007072
1,失败|观众,1,0.0014144271570014145
2,成功|观众,193,0.23536585365853657
2,强势|服务者,169,0.20609756097560974
2,all,155,0.18902439024390244
2,弱势|观众,82,0.1
2,中性|观众,78,0.0951219512195122
2,失败|抢救者,69,0.08414634146341464
2,弱势|同伴,32,0.03902439024390244
2,成功|被超越者,28,0.03414634146341464
2,中性|评价者,7,0.00853658536585366
2,失败|观众,6,0.007317073170731708
2,弱势|评价者,1,0.0012195121951219512
3,强势|服务者,296,0.4192634560906516
3,成功|观众,189,0.26770538243626063
3,all,75,0.10623229461756374
3,中性|观众,48,0.0679886685552408
3,失败|抢救者,45,0.06373937677053824
3,弱势|观众,27,0.03824362606232295
3,成功|被超越者,15,0.021246458923512748
3,弱势|同伴,6,0.0084985835694051
3,中性|评价者,3,0.00424929178470255
3,失败|观众,1,0.00141643059490085
3,弱势|评价者,1,0.00141643059490085
4,强势|服务者,336,0.45528455284552843
4,成功|观众,193,0.26151761517615174
4,all,64,0.08672086720867209
4,失败|抢救者,43,0.058265582655826556
4,弱势|观众,36,0.04878048780487805
4,中性|观众,31,0.04200542005420054
4,成功|被超越者,20,0.02710027100271003
4,弱势|同伴,9,0.012195121951219513
4,失败|观众,5,0.006775067750677507
4,中性|评价者,1,0.0013550135501355014
5,强势|服务者,251,0.3653566229985444
5,成功|观众,184,0.2678311499272198
5,all,74,0.10771470160116449
5,失败|抢救者,62,0.09024745269286755
5,中性|观众,42,0.0611353711790393
5,弱势|观众,41,0.05967976710334789
5,成功|被超越者,17,0.024745269286754003
5,弱势|同伴,10,0.01455604075691412
5,中性|评价者,3,0.004366812227074236
5,失败|观众,3,0.004366812227074236
6,强势|服务者,176,0.32532347504621073
6,成功|观众,100,0.18484288354898337
6,失败|抢救者,65,0.12014787430683918
6,all,64,0.11829944547134935
6,中性|观众,56,0.10351201478743069
6,弱势|观众,39,0.07208872458410351
6,弱势|同伴,19,0.03512014787430684
6,成功|被超越者,12,0.022181146025878003
6,中性|评价者,5,0.009242144177449169
6,失败|观众,5,0.009242144177449169
7,强势|服务者,463,0.5860759493670886
7,成功|观众,102,0.1291139240506329
7,中性|观众,69,0.08734177215189873
7,all,54,0.06835443037974684
7,失败|抢救者,37,0.04683544303797468
7,弱势|观众,30,0.0379746835443038
7,成功|被超越者,13,0.016455696202531647
7,失败|观众,7,0.008860759493670886
7,弱势|同伴,7,0.008860759493670886
7,中性|评价者,5,0.006329113924050633
7,成功|服务者,3,0.0037974683544303796
8,强势|服务者,369,0.45054945054945056
8,成功|观众,167,0.2039072039072039
8,all,101,0.12332112332112333
8,失败|抢救者,75,0.09157509157509157
8,中性|观众,43,0.052503052503052504
8,弱势|观众,32,0.03907203907203907
8,成功|被超越者,21,0.02564102564102564
8,弱势|同伴,6,0.007326007326007326
8,失败|观众,3,0.003663003663003663
8,中性|评价者,2,0.002442002442002442
9,强势|服务者,320,0.428380187416332
9,成功|观众,107,0.14323962516733602
9,失败|抢救者,84,0.11244979919678715
9,all,81,0.10843373493975904
9,中性|观众,75,0.10040160642570281
9,弱势|观众,57,0.07630522088353414
9,成功|被超越者,9,0.012048192771084338
9,中性|评价者,6,0.008032128514056224
9,弱势|同伴,5,0.006693440428380187
9,失败|观众,2,0.002677376171352075
9,弱势|评价者,1,0.0013386880856760374
10,强势|服务者,222,0.3681592039800995
10,成功|观众,142,0.23548922056384744
10,all,84,0.13930348258706468
10,中性|观众,40,0.06633499170812604
10,弱势|观众,40,0.06633499170812604
10,失败|抢救者,37,0.06135986733001658
10,成功|被超越者,22,0.03648424543946932
10,弱势|同伴,13,0.02155887230514096
10,中性|评价者,1,0.001658374792703151
10,失败|观众,1,0.001658374792703151
10,成功|服务者,1,0.001658374792703151
11,all,157,0.2368024132730015
11,强势|服务者,114,0.17194570135746606
11,成功|观众,109,0.16440422322775264
11,弱势|观众,107,0.16138763197586728
11,中性|观众,101,0.15233785822021115
11,失败|抢救者,48,0.07239819004524888
11,弱势|同伴,15,0.02262443438914027
11,成功|被超越者,7,0.010558069381598794
11,失败|观众,4,0.006033182503770739
11,中性|评价者,1,0.0015082956259426848
