post_category,reference_type,n_comments,n_hit_comments,hit_rate,avg_hits_per_hit_comment,median_like_when_hit
all,feminized,4362,12,0.002751031636863824,1.0833333333333333,0.0
all,infantilized,4362,50,0.011462631820265932,1.16,0.0
all,masculinized,4362,103,0.02361302154974782,1.4271844660194175,0.0
all,non_human,4362,595,0.1364053186611646,1.934453781512605,0.0
中性|观众,feminized,4543,13,0.00286154523442659,1.0,0.0
中性|观众,infantilized,4543,130,0.028615452344265904,1.0307692307692307,0.0
中性|观众,masculinized,4543,50,0.01100594320933304,1.16,0.0
中性|观众,non_human,4543,299,0.06581554039181158,1.9364548494983278,0.0
中性|评价者,feminized,176,1,0.005681818181818182,1.0,0.0
中性|评价者,infantilized,176,1,0.005681818181818182,1.0,11.0
中性|评价者,masculinized,176,16,0.09090909090909091,1.0,0.0
中性|评价者,non_human,176,31,0.17613636363636365,1.6774193548387097,1.0
失败|抢救者,feminized,2912,5,0.001717032967032967,1.0,0.0
失败|抢救者,infantilized,2912,16,0.005494505494505495,1.0,0.0
失败|抢救者,masculinized,2912,53,0.018200549450549452,1.1320754716981132,0.0
失败|抢救者,non_human,2912,393,0.1349587912087912,1.916030534351145,0.0
失败|观众,feminized,102,1,0.00980392156862745,1.0,0.0
失败|观众,infantilized,102,0,0.0,0.0,0.0
失败|观众,masculinized,102,4,0.0392156862745098,1.25,0.0
失败|观众,non_human,102,18,0.17647058823529413,1.8888888888888888,1.0
弱势|同伴,feminized,1015,4,0.003940886699507389,1.0,0.0
弱势|同伴,infantilized,1015,23,0.022660098522167486,1.0434782608695652,0.0
弱势|同伴,masculinized,1015,26,0.02561576354679803,1.1923076923076923,3.5
弱势|同伴,non_human,1015,50,0.04926108374384237,1.84,1.0
弱势|观众,feminized,2242,10,0.0044603033006244425,1.0,0.0
弱势|观众,infantilized,2242,141,0.06289027653880463,1.099290780141844,0.0
弱势|观众,masculinized,2242,89,0.03969669937555754,1.0449438202247192,0.0
弱势|观众,non_human,2242,237,0.10570918822479929,1.7552742616033756,0.0
弱势|评价者,feminized,8,0,0.0,0.0,0.0
弱势|评价者,infantilized,8,0,0.0,0.0,0.0
弱势|评价者,masculinized,8,0,0.0,0.0,0.0
弱势|评价者,non_human,8,0,0.0,0.0,0.0
强势|服务者,feminized,9089,9,0.0009902079436681704,1.0,0.0
强势|服务者,infantilized,9089,33,0.0036307624601166245,1.0303030303030303,0.0
强势|服务者,masculinized,9089,416,0.04576961161843987,1.1778846153846154,0.0
强势|服务者,non_human,9089,2146,0.23610958301243262,1.8289841565703635,0.0
成功|服务者,feminized,10,0,0.0,0.0,0.0
成功|服务者,infantilized,10,0,0.0,0.0,0.0
成功|服务者,masculinized,10,0,0.0,0.0,0.0
成功|服务者,non_human,10,0,0.0,0.0,0.0
成功|被超越者,feminized,873,0,0.0,0.0,0.0
成功|被超越者,infantilized,873,5,0.0057273768613974796,1.0,1.0
成功|被超越者,masculinized,873,47,0.053837342497136315,1.148936170212766,1.0
成功|被超越者,non_human,873,157,0.17983963344788087,1.7643312101910829,1.0
成功|观众,feminized,5913,9,0.0015220700152207,1.0,0.0
成功|观众,infantilized,5913,18,0.0030441400304414,1.1666666666666667,0.0
成功|观众,masculinized,5913,300,0.050735667174023336,1.36,0.0
成功|观众,non_human,5913,1168,0.19753086419753085,1.855308219178082,0.0
