topic_cluster,relation_type,n_comments,n_hit_comments,hit_rate
0,parenting,204,2,0.00980392156862745
0,peer_worker,204,0,0.0
0,pet_cute,204,3,0.014705882352941176
0,species_competition,204,1,0.004901960784313725
0,tool_toy,204,16,0.0784313725490196
0,warrior_hero,204,0,0.0
1,parenting,323,1,0.0030959752321981426
1,peer_worker,323,0,0.0
1,pet_cute,323,3,0.009287925696594427
1,species_competition,323,2,0.006191950464396285
1,tool_toy,323,12,0.03715170278637771
1,warrior_hero,323,0,0.0
2,parenting,6,0,0.0
2,peer_worker,6,0,0.0
2,pet_cute,6,0,0.0
2,species_competition,6,0,0.0
2,tool_toy,6,1,0.16666666666666666
2,warrior_hero,6,0,0.0
3,parenting,317,6,0.01892744479495268
3,peer_worker,317,1,0.0031545741324921135
3,pet_cute,317,27,0.08517350157728706
3,species_competition,317,2,0.006309148264984227
3,tool_toy,317,30,0.0946372239747634
3,warrior_hero,317,0,0.0
4,parenting,2046,46,0.022482893450635387
4,peer_worker,2046,30,0.01466275659824047
4,pet_cute,2046,32,0.015640273704789834
4,species_competition,2046,128,0.06256109481915934
4,tool_toy,2046,1557,0.7609970674486803
4,warrior_hero,2046,21,0.010263929618768328
5,parenting,3180,63,0.01981132075471698
5,peer_worker,3180,24,0.007547169811320755
5,pet_cute,3180,200,0.06289308176100629
5,species_competition,3180,50,0.015723270440251572
5,tool_toy,3180,110,0.03459119496855346
5,warrior_hero,3180,30,0.009433962264150943
6,parenting,505,5,0.009900990099009901
6,peer_worker,505,0,0.0
6,pet_cute,505,18,0.03564356435643564
6,species_competition,505,0,0.0
6,tool_toy,505,6,0.011881188118811881
6,warrior_hero,505,0,0.0
7,parenting,617,12,0.019448946515397084
7,peer_worker,617,4,0.006482982171799027
7,pet_cute,617,10,0.01620745542949757
7,species_competition,617,12,0.019448946515397084
7,tool_toy,617,24,0.03889789303079417
7,warrior_hero,617,2,0.0032414910858995136
8,parenting,138,0,0.0
8,peer_worker,138,0,0.0
8,pet_cute,138,3,0.021739130434782608
8,species_competition,138,0,0.0
8,tool_toy,138,0,0.0
8,warrior_hero,138,0,0.0
9,parenting,4072,93,0.022838899803536344
9,peer_worker,4072,20,0.004911591355599214
9,pet_cute,4072,21,0.005157170923379175
9,species_competition,4072,79,0.019400785854616895
9,tool_toy,4072,186,0.04567779960707269
9,warrior_hero,4072,30,0.0073673870333988214
10,parenting,589,3,0.0050933786078098476
10,peer_worker,589,0,0.0
10,pet_cute,589,6,0.010186757215619695
10,species_competition,589,15,0.025466893039049237
10,tool_toy,589,52,0.08828522920203735
10,warrior_hero,589,4,0.006791171477079796
11,parenting,3,0,0.0
11,peer_worker,3,0,0.0
11,pet_cute,3,0,0.0
11,species_competition,3,0,0.0
11,tool_toy,3,0,0.0
11,warrior_hero,3,0,0.0
