cluster,size,share,top_terms
9,4072,0.3393333333333333,"石化, 不是, 遥控, 什么, 人类, 土豆, 干嘛, 能跑, 见过, 控器, 豆豆, 是不, 诡异, 发展, 好诡, 需要, 橘子, 不要"
5,3180,0.265,"捂脸, 笑哭, 笑死, 这个, 可爱, 降温, 那个, 感觉, 还有, 怎么, 真的, 就是, 小红, 有点, 红薯, 死了, 这是, 不行"
4,2046,0.1705,"机器, 器人, doge, 什么, 不是, 一个, 遥控, 马拉, 笑哭, 拉松, 个机, 的机, 可以, 偷笑, 以后, 就是, 人类, 意义"
7,617,0.051416666666666666,"这么, 大笑, 搞笑, 还是, 呃, 进步, 赞, 哭惹, 么快, 快了, 笑哭, 的小, wd40, 好搞, 跑这, 去年, 太快, 科技"
10,589,0.04908333333333333,"意义, 散热, 电池, 大王, 换电, 喜欢, 派对, 世界, 有意, 意思, 起来, 来的, 什么, 在哪, 的意, 应该, 润滑, 冰块"
6,505,0.042083333333333334,"哈哈, 笑哭, 哈好, 啊哈, 了哈, momo, 可爱, 低电, 捂脸, 好笑, 这个, 哈我, 笑死, 妈呀, 离谱, 好可, 120, 偷笑"
1,323,0.026916666666666665,"笑哭, 笑死, 捂脸, 器人, 机器, 这个, 死了, 其实, 不能, 可以, 加冰, 担架, 上了, 干冰, 防晒, 开心, 害羞, wd40"
3,317,0.026416666666666668,"哈哈, 了哈, 笑哭, 笑死, 哈我, 那个, 笑哈, 我了, 捂脸, 小的, 死我, 啊哈, 可爱, 好笑, 搞笑, 死了, 哈这, momo"
0,204,0.017,"偷笑, 防晒, 器人, 机器, 裤裆, 哪个, 控的, 像是, 降温, 大笑, 也是, 什么, 装备, 可爱, f1, 电了, 遥控, 奶瓶"
8,138,0.0115,"momo, 笑哭, 捂脸, 可爱, 今晚, 打工, 尬住, 笑死, 一定, 我是, 健康, 可以, 身体, 的小, doge, 上的, 猫猫, 蘑菇"
2,6,0.0005,"程师, 人工, 工程, 120, 也是, 笑哭, 器人, 机器, 来了, 起来, 还有, 在后, 在发, 在的, 在比, 在机, 在是, 在战"
11,3,0.00025,"发疯, 工作, 龟兔, 在这, 在跑, 在看, 在的, 在比, 在机, 在是, 在战, 在我, 在想, 在家, 在地, 在哪, 在后, 在发"
