post_category,posts,l1_comments,mean_l1_likes,median_l1_likes,mean_replies,median_replies,mean_len
unknown,47,503,4.343936381709741,0.0,0.6341948310139165,0.0,77.15904572564612
失败|抢救者,6,3261,8.067157313707451,0.0,0.2836553204538485,0.0,73.86629868138608
失败|服务者,21,87,1.6896551724137931,0.0,0.45977011494252873,0.0,46.804597701149426
失败|观众,20,2266,2.479699911738747,0.0,0.22992056487202117,0.0,72.8927625772286
常态|保护者,1,23,1.391304347826087,0.0,0.6956521739130435,0.0,137.8695652173913
常态|服务者,60,251,1.2788844621513944,0.0,0.3426294820717131,0.0,70.17529880478088
常态|观众,13,365,2.9863013698630136,0.0,0.6,0.0,79.52054794520548
弱势|保护者,1,26,7.3076923076923075,4.5,1.0384615384615385,1.0,42.46153846153846
弱势|服务者,9,105,4.3428571428571425,1.0,0.7333333333333333,0.0,109.2
弱势|观众,5,20,1.0,0.5,0.2,0.0,44.55
强势|保护者,1,588,4.4523809523809526,0.0,0.5782312925170068,0.0,55.7891156462585
强势|服务者,31,168,1.75,1.0,0.6785714285714286,0.0,56.82142857142857
强势|观众,154,10912,6.255681818181818,0.0,0.4229288856304985,0.0,77.86381964809384
混合|保护者,5,535,6.955140186915888,1.0,1.5214953271028038,0.0,68.41682242990655
混合|抢救者,30,8828,7.378454916175804,0.0,0.46692342546443133,0.0,79.52197553239692
混合|服务者,78,2587,3.499806725937379,0.0,0.5434866640896792,0.0,83.27715500579822
混合|观众,212,11354,8.25118900827902,0.0,0.676765897481064,0.0,68.64056720098644
