topic,post_category,count,share
0,"humane,nohuman",877,0.3237356958287191
0,"strong,nohuman",578,0.21336286452565523
0,"weak,nohuman",482,0.17792543373938724
0,all,293,0.10815799187892211
0,"lovely,nohuman",274,0.10114433370247324
0,"weak,human",137,0.05057216685123662
0,"strong,human",68,0.025101513473606497
1,"humane,nohuman",955,0.36744901885340514
1,"strong,nohuman",689,0.26510196229318966
1,"weak,nohuman",368,0.1415929203539823
1,all,241,0.09272797229703732
1,"lovely,nohuman",159,0.061177375913813004
1,"weak,human",110,0.04232397075798384
1,"strong,human",76,0.029242016160061564
1,unknown,1,0.00038476337052712584
2,"humane,nohuman",1116,0.4305555555555556
2,"strong,nohuman",486,0.1875
2,all,345,0.13310185185185186
2,"weak,nohuman",327,0.1261574074074074
2,"weak,human",152,0.05864197530864197
2,"lovely,nohuman",91,0.03510802469135803
2,"strong,human",75,0.028935185185185185
3,"humane,nohuman",1275,0.4699594544784372
3,"strong,nohuman",677,0.24953925543678585
3,"weak,nohuman",267,0.09841503870254331
3,all,255,0.09399189089568744
3,"lovely,nohuman",107,0.03943973461113159
3,"strong,human",72,0.026538886841135274
3,"weak,human",59,0.021747143383708072
3,unknown,1,0.00036859565057132326
4,"humane,nohuman",783,0.432357813362783
4,"strong,nohuman",460,0.25400331308669244
4,"weak,nohuman",220,0.12147984538928769
4,all,144,0.07951408061844285
4,"lovely,nohuman",73,0.04030922142462728
4,"strong,human",64,0.0353395913859746
4,"weak,human",64,0.0353395913859746
4,unknown,3,0.0016565433462175593
5,"humane,nohuman",733,0.3055439766569404
5,"weak,nohuman",412,0.17173822426010837
5,all,407,0.16965402250937892
5,"strong,nohuman",385,0.16048353480616923
5,"lovely,nohuman",348,0.14506044185077116
5,"weak,human",58,0.02417674030846186
5,"strong,human",56,0.02334305960817007
6,"humane,nohuman",1019,0.4551138901295221
6,"strong,nohuman",444,0.19830281375614114
6,all,301,0.13443501563197857
6,"weak,nohuman",241,0.10763733809736489
6,"lovely,nohuman",111,0.049575703439035286
6,"weak,human",70,0.03126395712371594
6,"strong,human",51,0.022778025904421618
6,unknown,2,0.0008932559178204555
7,"humane,nohuman",718,0.290453074433657
7,"weak,nohuman",565,0.2285598705501618
7,"strong,nohuman",499,0.20186084142394822
7,all,408,0.1650485436893204
7,"lovely,nohuman",116,0.04692556634304207
7,"weak,human",110,0.04449838187702265
7,"strong,human",56,0.022653721682847898
8,"humane,nohuman",1000,0.4308487720809996
8,"weak,nohuman",433,0.1865575183110728
8,"strong,nohuman",302,0.13011632916846186
8,all,244,0.10512710038776389
8,"lovely,nohuman",215,0.0926324859974149
8,"weak,human",83,0.03576044808272297
8,"strong,human",41,0.017664799655320983
8,unknown,3,0.0012925463162429987
9,"humane,nohuman",623,0.27324561403508774
9,"strong,nohuman",562,0.24649122807017543
9,"weak,nohuman",448,0.19649122807017544
9,all,334,0.14649122807017545
9,"lovely,nohuman",121,0.05307017543859649
9,"weak,human",104,0.0456140350877193
9,"strong,human",85,0.03728070175438596
9,unknown,3,0.0013157894736842105
