帖子id,post_category,comment_level,like_count,content
69e4551e000000001f005895,"strong,human",1,6956.0,哈哈哈哈从《我追一下》到《拜拜了您呐》只用了五秒[偷笑R][偷笑R]
69e4426b000000001d01c7ed,"weak,nohuman",1,5607.0,太可爱啦还拿着奶瓶🍼[笑哭R][笑哭R][笑哭R][笑哭R][笑哭R][笑哭R]
69e2583b00000000230211ea,"weak,nohuman",1,1752.0,直接解体了[捂脸R][捂脸R][捂脸R][捂脸R][笑哭R][笑哭R][笑哭R][笑哭R]
69e4551e000000001f005895,"strong,human",2,1412.0,哈哈哈[笑哭R]5秒他已经很给我面子了
69e48d54000000002102e178,"weak,human",2,1311.0,[抽泣R][抽泣R][抽泣R]是这样
69e47f8f000000001f007203,all,1,842.0,家里没有老人的，可以买一款这个回去照顾哈哈哈
69e47f8f000000001f007203,all,1,715.0,从这个机器人的跑步姿势上看出了性别[笑哭R][笑哭R][笑哭R][笑哭R]
69e2583b00000000230211ea,"weak,nohuman",2,569.0,太好笑了哈哈哈哈哈哈哈哈哈哈哈哈哈
69e481e8000000002003ad94,"humane,nohuman",2,518.0,这岗位轮不到你干[doge][doge]看似维护，实则是年入大几十万的高科技人才[doge][doge]
69e42cc100000000220001ad,"lovely,nohuman",1,465.0,没事，真到了生不出小孩的那一天，它将是我的儿子哈哈哈哈
69e481e8000000002003ad94,"humane,nohuman",2,462.0,[偷笑R]哈哈哈，戳到我的笑点了，低血糖哈哈哈哈
69e4426b000000001d01c7ed,"weak,nohuman",2,414.0,受不了了哈哈哈哈哈哈哈
69e4426b000000001d01c7ed,"weak,nohuman",2,291.0,哈哈哈，一看真拿了个奶瓶🍼
69e43a5a000000001d01dcc7,"humane,nohuman",1,287.0,我说他干嘛呢，后来才看见地上坐着一个[偷笑R]，看他这两步跑得跟喝多了似的，五十步笑百步呢[偷笑R][偷笑R][偷笑R]
69e6f2bc0000000023005345,"lovely,nohuman",2,275.0,哈哈哈哈哈哈哈哈哈哈哈心塞！应该让小朋友先跑，锻炼一下大高个们的避障能力
69e47f8f000000001f007203,all,2,249.0,豆脚哈哈哈哈哈哈哈哈哈哈谁起的名字笑死了
69e4426b000000001d01c7ed,"weak,nohuman",2,225.0,镜头最后真的太好笑了哈哈哈哈哈哈哈哈哈哈
69da7e87000000001a03484e,"strong,nohuman",1,202.0,上一次比赛被骂路都走不明白，这次都能跑的飞快了就骂跑的快有什么用[赞R][赞R][赞R]
69e6f2bc0000000023005345,"lovely,nohuman",2,192.0,已经有网友给配上了，哈哈[偷笑R]
69e41e24000000001a025f1a,"weak,human",1,188.0,机器人马拉松会不会影响真人跑者的成绩啊，感觉大家都忍不住看哈哈哈
69e4551e000000001f005895,"strong,human",1,180.0,笑死哈哈哈哈哈哈哈你追了吗
69e4426b000000001d01c7ed,"weak,nohuman",2,167.0,天呐你不说我还没注意，好可爱哈哈哈哈
69e2583b00000000230211ea,"weak,nohuman",2,160.0,这机器人就是靠3d打印出来的零件[抠鼻R][抠鼻R][抠鼻R]所以这脆
69e2583b00000000230211ea,"weak,nohuman",2,139.0,这绝对不是春晚的机器人[捂脸R][捂脸R][捂脸R][捂脸R][笑哭R][笑哭R][笑哭R]
69e47f8f000000001f007203,all,2,126.0,哈哈哈还有护工陪同
69e48d54000000002102e178,"weak,human",2,106.0,他还有安全帽  他爸爸确实很爱他了[捂脸R][捂脸R][捂脸R][捂脸R]
69e47f8f000000001f007203,all,2,100.0,这是他参加张杰演唱会表演的工作服[捂脸R][捂脸R][捂脸R]
69e4551e000000001f005895,"strong,human",2,98.0,太疯狂了[捂脸R][捂脸R][捂脸R]48分钟我还在10公里处
69e47f8f000000001f007203,all,2,96.0,哈哈哈哈哈哈哈哈哈 笑死我了
69e47f8f000000001f007203,all,2,94.0,哈哈哈，看到这个也笑了
69e47f8f000000001f007203,all,2,85.0,哈哈哈哈 正正经经的大女孩
69e4426b000000001d01c7ed,"weak,nohuman",2,74.0,哈哈哈哈 真的很好笑
69e4426b000000001d01c7ed,"weak,nohuman",1,73.0,哈哈哈哈哈，我还在想，废的在哪里，最后镜头一转，绷不住了[笑哭R]
69e4551e000000001f005895,"strong,human",2,63.0,@想去冰岛 哈哈哈哈哈哈哈哈哈哈哈（惊现带路党）
69e4426b000000001d01c7ed,"weak,nohuman",2,58.0,废的出来的那一刻我哈哈哈哈哈哈哈
69e48d54000000002102e178,"weak,human",2,51.0,天呐哈哈哈哈哈[抽泣R]
69e4426b000000001d01c7ed,"weak,nohuman",2,40.0,哈哈哈哈哈哈哈哈那个坐地上的也太好笑了
69da7e87000000001a03484e,"strong,nohuman",1,39.0,这速度这么快呀[点赞R][点赞R][点赞R]
69e6f2bc0000000023005345,"lovely,nohuman",2,39.0,哈哈哈哈我们滴机器人很稳定哦 硬件很稳定[害羞R]
69da7e87000000001a03484e,"strong,nohuman",2,35.0,哈哈哈哈哈哈哈哈机器人：谢谢你，他们都问我马拉松意义是什么，只有你关心我心脏好不好
69e6f2bc0000000023005345,"lovely,nohuman",1,34.0,我专门为了追小派早起坐了一个多小时的车去10公里处的大族广场候着，结果等了半天没等到，听说在5公里处就熄火了[抽泣R][抽泣R][抽泣R]
69e6f2bc0000000023005345,"lovely,nohuman",2,33.0,哈哈哈哈哈彩灯鞋[派对R]
69e4426b000000001d01c7ed,"weak,nohuman",1,32.0,小孩还拿了个奶瓶，我不行了哈哈哈哈哈
69e47f8f000000001f007203,all,2,32.0,这叫饭撒哈哈哈
69e47f8f000000001f007203,all,1,31.0,莫名好笑，一群高智聚集在一起苦思冥想制造出了以上…哈哈
69e47f8f000000001f007203,all,1,29.0,像陈赫哈哈
69e6f2bc0000000023005345,"lovely,nohuman",2,27.0,好惨哈哈哈哈哈哈欺负腿短
69e43a5a000000001d01dcc7,"humane,nohuman",2,27.0,哈哈哈哈哈哈哈哈哈嘚嘚瑟瑟的最后被拉走了@🍓
69e4426b000000001d01c7ed,"weak,nohuman",2,26.0,这么好玩[笑哭R][笑哭R]连人类的八卦也学会了[笑哭R][笑哭R]
69e4551e000000001f005895,"strong,human",2,25.0,[捂脸R][捂脸R][捂脸R]你就想场景了嘛
69e4426b000000001d01c7ed,"weak,nohuman",2,25.0,哈哈哈哈哈哈哈哈哈，比去年进步很多[暗中观察R]，今年跑着跑着甚至有头掉了，胳膊掉了，过热过载的[暗中观察R]
69e4551e000000001f005895,"strong,human",2,24.0,哈哈哈 能把狗狗溜服气[笑哭R]
69da7e87000000001a03484e,"strong,nohuman",2,23.0,哈哈哈哈哈哈哈哈哈那也太好笑了
69da7e87000000001a03484e,"strong,nohuman",2,22.0,哈哈哈哈哈哈哈哈哈哈@@MuMu  像你之前跑步
69da7e87000000001a03484e,"strong,nohuman",2,22.0,那是车哈哈哈哈
69da7e87000000001a03484e,"strong,nohuman",2,21.0,机器人多贵！机器人被车撞了你得重新买一个，外卖员被车撞了就赖给外卖员自己不遵守交通规则0成本的[doge][doge][doge]机器人把餐食打翻了平台得赔钱，外卖员打翻了自己垫着[doge][doge][doge]你是老板你选择机器人还是外卖员，就这么说就国内的人力成本除了没有厂里，不然机器人暂时还替代不了人力
69da7e87000000001a03484e,"strong,nohuman",1,20.0,哈哈哈，外卖小哥表示有压力[失望R]
69e42cc100000000220001ad,"lovely,nohuman",2,20.0,哈哈哈哈哈，想象力+求生欲，可以可以
69e4551e000000001f005895,"strong,human",2,19.0,哈哈哈[笑哭R][笑哭R][笑哭R] 你这也是神评论
69e4551e000000001f005895,"strong,human",2,19.0,哈哈哈 在起点吧[笑哭R]
69e4551e000000001f005895,"strong,human",2,19.0,嗯～对[笑哭R][笑哭R][笑哭R]不用给他们让道
69e41e24000000001a025f1a,"weak,human",2,19.0,这个活动把你们这个ip急的啊，条条下面都能看到跟你一样的评论[呃R][呃R][呃R]
69e47f8f000000001f007203,all,2,18.0,应该是每个机器人的家长吧，车上的编号和面前机器人的编号一样[笑哭R][笑哭R]全程陪同随时准备抢修[doge]
69e481e8000000002003ad94,"humane,nohuman",2,18.0,在哪里发热需要降温人家工程师能不比你知道吗[汗颜R][汗颜R][汗颜R][汗颜R]
69e4551e000000001f005895,"strong,human",2,17.0,哈哈哈哈 以后人手一个机器人
69e4551e000000001f005895,"strong,human",2,17.0,[微笑R][微笑R][微笑R]反正我们终点见到了 在领奖台上
69da7e87000000001a03484e,"strong,nohuman",2,17.0,比你有用[捂脸R][捂脸R][捂脸R][捂脸R][捂脸R]
69da7e87000000001a03484e,"strong,nohuman",2,17.0,人家在比运动性能，你哪跟哪呢，未来机器人要代替人类上战场，也要上太空，不排除有外星人还得抵抗地外文明等，你以为就干你那芝麻大点破事呢，天天意义意义的……[抠鼻R][抠鼻R][抠鼻R]
69e42cc100000000220001ad,"lovely,nohuman",2,17.0,蟑螂呢？老鼠呢？[偷笑R][偷笑R][偷笑R]
69e6f2bc0000000023005345,"lovely,nohuman",2,17.0,哈哈哈笑不行了
69e48d54000000002102e178,"weak,human",2,16.0,@红腚吗喽 好感人啊哈哈哈哈哈哈
69e4551e000000001f005895,"strong,human",1,15.0,这玩意儿遛狗行啊[呃R][呃R][呃R][呃R]
69e42cc100000000220001ad,"lovely,nohuman",2,15.0,哈哈哈 太励志了！
69da7e87000000001a03484e,"strong,nohuman",2,14.0,没穿裤子哈哈哈
69e6f2bc0000000023005345,"lovely,nohuman",2,14.0,哈哈哈…原来真相是这样。
69e4551e000000001f005895,"strong,human",2,13.0,哈哈哈[笑哭R]去附近热点视频里找
69e47f8f000000001f007203,all,2,13.0,太可爱了，大湾鸡[飞吻R][飞吻R][飞吻R]
69e6f2bc0000000023005345,"lovely,nohuman",2,13.0,那个是不是宇树的[暗中观察R] 我记得是72号[暗中观察R][暗中观察R]
69da7e87000000001a03484e,"strong,nohuman",2,12.0,[石化R]又不是为了体育精神[石化R][石化R]
69e42cc100000000220001ad,"lovely,nohuman",1,11.0,欺负小孩，孩子输在了腿短哈哈哈哈哈哈
69e44278000000001a0217bb,"strong,human",2,11.0,哈哈哈哈好可爱啊[笑哭R]
69e4426b000000001d01c7ed,"weak,nohuman",2,11.0,真的很像低血糖哈哈啊哈哈哈
69e47f8f000000001f007203,all,2,11.0,男女孩 但他跑的姿势对比其他的和标准了哈哈哈哈哈
69db34bb000000001a0348ae,"weak,human",1,10.0,图五 两手一摊死过去了[笑哭R][笑哭R][笑哭R]
69da7e87000000001a03484e,"strong,nohuman",1,10.0,评论区说没用的那些人，让我恍惚间以为回到了WB[石化R]如果这是美国的机器人，估计就是另一番景象了[暗中观察R]（之前评论给我删了，我就发，就发！[萌萌哒R]）
69da7e87000000001a03484e,"strong,nohuman",2,10.0,带上🔫，带上💣，🤖×200，冲锋号一响。想都不敢想。
69da7e87000000001a03484e,"strong,nohuman",1,9.0,话说，以后中国足球队能派机器人去踢吗[偷笑R][偷笑R][偷笑R][偷笑R]
69e42cc100000000220001ad,"lovely,nohuman",1,9.0,这个机器人还没断奶吧 这么拼[偷笑R][偷笑R][偷笑R]
69e4426b000000001d01c7ed,"weak,nohuman",2,9.0,@贝壳味儿的棒棒糖 这一幕真的给我笑拉了[笑哭R][笑哭R][笑哭R]
69e42cc100000000220001ad,"lovely,nohuman",1,8.0,这小玩意儿也能跑赢百分之九十评论区[笑哭R][笑哭R][笑哭R]
69e47f8f000000001f007203,all,1,8.0,每只机器人后面都跟一车人吗？哈哈哈哈哈，不知道为什么就是觉得好可爱
69e47f8f000000001f007203,all,1,8.0,它好努力啊！[捂脸R][捂脸R][捂脸R]
69e48d54000000002102e178,"weak,human",1,8.0,机器人统治世界的时候，记得看这条！这哥们做主桌[吃瓜R][吃瓜R][吃瓜R][吃瓜R]
69da7e87000000001a03484e,"strong,nohuman",2,8.0,啊哈哈哈哈哈哈哈抱歉太好笑了
69e42cc100000000220001ad,"lovely,nohuman",2,8.0,我想看摔烂的，你发个提示给我[失望R][失望R][失望R]
69e481e8000000002003ad94,"humane,nohuman",2,8.0,不要人启动了？[扯脸H][扯脸H][扯脸H]
69e481e8000000002003ad94,"humane,nohuman",2,8.0,参加本次马拉松人员十分庞大，每个队伍分别有一个机器人和三个人类完成[捂脸R][捂脸R][捂脸R]
69e2583b00000000230211ea,"weak,nohuman",1,7.0,@钤汐 @欢记 @余清 @蘑菇草🍄 @别爱你澜总 @慕屿 @恋屿_皖忬🥀🦋[淡网➕收徒弟] @淮锦 @意未憫&辭涴 @辞陌雪(念初版)
69e481e8000000002003ad94,"humane,nohuman",1,7.0,码农抱着电脑跟着机器人跑完全马，哈哈哈哈哈哈哈哈哈哈
69e4551e000000001f005895,"strong,human",2,7.0,狗：[黑薯问号R][黑薯问号R][黑薯问号R]
69e4426b000000001d01c7ed,"weak,nohuman",2,7.0,@豆是好朋友 哈哈哈哈哈，笑抽了
69db34bb000000001a0348ae,"weak,human",2,7.0,@肴璃 哈哈哈哈笑死
69db34bb000000001a0348ae,"weak,human",2,7.0,哈哈哈哈哈套娃
69da7e87000000001a03484e,"strong,nohuman",2,7.0,这要是美鬼日鬼的，那就是人类之光了[doge][doge][doge]
69e47f8f000000001f007203,all,2,7.0,哈哈哈哈太有梗了
69e6f2bc0000000023005345,"lovely,nohuman",2,7.0,我说的也是很简单的监控，外加数据上传，最好联动报警？其实也无所谓主动提醒主人就可以啦。然后语音控制➕远程遥控，比如扫地机器人困住之类的可以让小机器人去救！我觉得这小玩意儿真挺好，价格门槛低，它主要有一点实用功能就很好[赞R]毕竟对普通用户来说买回家做二次开发还是有点难，我就想买了当小孩用[笑哭R]
69e48d54000000002102e178,"weak,human",2,7.0,感觉跑得生不如死 仰头看天哈哈哈哈哈
69e44278000000001a0217bb,"strong,human",1,6.0,哈哈哈哈哈哈哈哈哈我这几天刷了好多好多机器人视频 还是第一次刷到选手这边的视角哈哈哈哈哈哈
69e4551e000000001f005895,"strong,human",1,6.0,哈哈哈，这么多人陪跑吗[笑哭R]
69e4426b000000001d01c7ed,"weak,nohuman",1,6.0,镜头一转过来还有一个机器人坐地上哈哈哈哈哈哈哈哈哈
69e4426b000000001d01c7ed,"weak,nohuman",1,6.0,哈哈，大的没跑过小的？[偷笑R]
69e481e8000000002003ad94,"humane,nohuman",1,6.0,哈哈哈 纯骗人 骗钱的 毫无意义
69e4426b000000001d01c7ed,"weak,nohuman",2,6.0,镜头的艺术[笑哭R][笑哭R][笑哭R][笑哭R]
69e4426b000000001d01c7ed,"weak,nohuman",2,6.0,这个镜头一转到那个瘫坐在地上的穿蓝马甲的机器人，就很好笑哈哈哈哈哈哈哈
69e48d54000000002102e178,"weak,human",2,6.0,好真实哈哈哈哈哈哈哈
69e481e8000000002003ad94,"humane,nohuman",2,6.0,哈哈哈哈哈哈哈哈多吃点儿吃饱饱
69e4426b000000001d01c7ed,"weak,nohuman",1,5.0,没人发现吗？那个小的还拿个奶瓶哈哈哈
69e4426b000000001d01c7ed,"weak,nohuman",1,5.0,哈哈哈哈你们这两个老大不小的，还不如人家拿奶瓶的宝宝
69e41e24000000001a025f1a,"weak,human",1,5.0,哈哈哈哈哈旁边那些跑步的人，毫无PB的欲望，全是对看热闹的渴望
69e47f8f000000001f007203,all,1,5.0,我的天哪真的不敢想象以后我的小机器人突然倒在地上但是没人愿意扶[哭惹R]如果我的小机器人半路上没电了被人捡走怎么办[哭惹R]我还联系不上他[哭惹R]想想就好心碎呀[哭惹R]
69e47f8f000000001f007203,all,1,5.0,怎么每个都那么好笑啊[笑哭了R][笑哭了R][笑哭了R][笑哭了R][笑哭了R]
69e47f8f000000001f007203,all,1,5.0,只有这位跑得有人样哈哈哈哈哈哈哈
69e47f8f000000001f007203,all,1,5.0,最后的北京急救中心笑死了哈哈哈哈，急救躺在地上的两个机器人吗[笑哭R][笑哭R]
69e4551e000000001f005895,"strong,human",2,5.0,我意思是它绝对赢不了哈哈哈哈哈哈，因为会有人绊倒它[捂脸R][捂脸R][捂脸R][捂脸R]
69e4426b000000001d01c7ed,"weak,nohuman",2,5.0,哈哈哈，坐在地上看起来像是没招了
69e47f8f000000001f007203,all,2,5.0,哈哈哈其实就是要遍地开花，这样以后才有发展，我们买机器人回家才会便宜一点
69e6f2bc0000000023005345,"lovely,nohuman",2,5.0,哈哈哈哈哈哈哈哈。耽误人家下班。
69e6f2bc0000000023005345,"lovely,nohuman",2,5.0,组委会怎么回事，欺负我家子涵[完啦R]（开玩笑的哈哈）
69e481e8000000002003ad94,"humane,nohuman",2,5.0,哈哈哈哈哈哈轮椅飞起来了
69e481e8000000002003ad94,"humane,nohuman",2,5.0,脱了裤子放屁，[失望R][失望R][失望R]要的就是仪式感[笑哭R][笑哭R][笑哭R][笑哭R]
69e4426b000000001d01c7ed,"weak,nohuman",1,4.0,镜头一转过来我笑的不行了哈哈哈哈哈哈哈
69db34bb000000001a0348ae,"weak,human",1,4.0,我服了哈哈哈哈机器人都安排上救护车了 老了养一个给自己添乱吧[捂脸R][捂脸R]
69da7e87000000001a03484e,"strong,nohuman",1,4.0,哈哈哈哈哈哈哈哈去年考某体制，就让剪的机器人马拉松的片子，那会儿都是走两步躺下的，没想到一年后跑这么麻溜[大笑R]
69da7e87000000001a03484e,"strong,nohuman",1,4.0,人家都在月球来回跑，我们除了关注马桶就是用遥控机器人骗补贴[微笑R][微笑R][微笑R]
69e42cc100000000220001ad,"lovely,nohuman",1,4.0,每一步都以为要倒 哈哈哈
69e47f8f000000001f007203,all,1,4.0,084那个[笑哭R][笑哭R]我看到他跟路人搭讪，还跳舞[笑哭R][笑哭R]
69e4551e000000001f005895,"strong,human",2,4.0,哈哈哈哈，章跑步就这个姿势
