cluster,top_terms,size
0,"天才, 奶瓶, 拿, ., 还, @, 大, 外骨骼, 增加, 大概, 声音, 复杂, 复苏, 大家, 外卖",4
1,"@, momo, ., 的, 小, _, 。, 我, 🥕, 了, ？, 在, 版, 不是, （",910
2,"捂脸, R, [, ], 了, @, 机器人, 的, ，, 跑, 我, 还, 吗, 啊, 这个",211
3,"的, ，, @, 是, 机器人, 跑, ？, 啊, 好, 。, 吗, 我, 不, 这, [",3651
4,"？, 你, 意义, 什么, 的, 是, ，, 有, 机器人, 说, 吗, ], [, doge, 都",643
5,"[, ], R, 哭, 笑, 偷笑, doge, 了, 的, ，, @, 我, 点赞, 还, 机器人",1250
6,"哈哈哈, 哈哈哈哈, @, 了, 我, 啊, ！, 笑, 好, 死, 的, 一个, 小朋友, ，, [",350
7,"哈哈, 哈哈哈, @, 的, 了, f1, 太, 豆脚, ., 好, 废, 莫名, 喜感, 这个, 大笑",113
8,"这样, ，, 就, 我, 还, 的, 跑, 是, 能, 应该, 会, 也, 对, 不, 了",56
9,"了, 死, ，, 我, 笑, @, 就, 太, 的, 机器人, 跑, 都, 可爱, 。, 得",812
