帖子id,机器人状态,人的形象,帖子链接,一级评论次数,二级评论次数,matched_xhs_id,帖子标题,帖子正文
7630659600005582101,,,https://www.tiktok.com/@channelnewsasia/video/7630659600005582101,369,415,,🤖🏃 Robots in China outran thei,"🤖🏃 Robots in China outran their human counterparts in a half-marathon in Beijing on Sunday (Apr 19). The winning “Lightning” bot, developed by Honor, completed the race in 50 minutes 26 seconds — beating the world record set by Ugandan athlete Jacob Kiplimo by seven minutes. #chinanews #china #robot"
7628693302266580246,,,https://www.tiktok.com/@chinaminutes/video/7628693302266580246,2890,1126,,🇨🇳 Beijing is set to host a hu,"🇨🇳 Beijing is set to host a human vs. robot half-marathon, as new test runs show just how quickly humanoid robots are improving. 📍 On April 19 at 7:30am, more than 300 humanoid robots from 26 companies will run the 21.1km course alongside around 12,000 human participants in Beijing’s E-Town.  The route spans city roads, racetrack sections and park terrain, designed to test performance in real conditions. ⚡ The progress over one year is quite impressive: In April 2025, a leading humanoid robot completed a half-marathon in 2 hours 40 minutes. By April 2026, a robot called “Lightning” finished the same distance in under 54 minutes, reflecting major gains in speed, stability and navigation. 🧠 Beyond the race, the event serves as a benchmark for real-world capability. Long-distance running pushes limits in balance, energy management and environmental awareness, all key areas for applications like disaster response, industrial inspection and logistics. • • • #marathon #robot #humanoid #humansvsrobots #robotsrunning "
7630464467419041037,,,https://www.tiktok.com/@nbcnews/video/7630464467419041037,1430,556,,It was not even close as a bri,"It was not even close as a bright-red Chinese humanoid named “Lightning” lived up to its name in a half-marathon pitting humans against robots, smoking its competition on Sunday."
7630790137298898190,,,https://www.tiktok.com/@nbcnews/video/7630790137298898190,358,211,,It was not even close as a bri,"It was not even close as a bright-red Chinese humanoid named “Lightning” lived up to its name in a half-marathon in Beijing, pitting humans against robots, smoking its competition."
7644177611735813383,,,https://www.tiktok.com/@honorlatam/video/7644177611735813383,0,0,,HONOR — listo para superar lím,HONOR — listo para superar límites y conquistar cada desafío. 🔥🤖 #HONOR #marathon #robot #tech 
7630864176667200801,,,https://www.tiktok.com/@cgtneurope/video/7630864176667200801,1309,392,,At the 2026 Beijing E Town hal,"At the 2026 Beijing E Town half marathon, robots were serviced at aid stations along the course. The key tasks were rapid battery swaps and cooling to keep them running smoothly. Watch how a robot is refueled in just 40 seconds! #Robotics #Beijing #HumanoidRobots #RobotMarathon"
7630476548952460567,,,https://www.tiktok.com/@chinascope/video/7630476548952460567,477,346,,In Beijing’s 2026 humanoid rob,"In Beijing’s 2026 humanoid robot half marathon, a robot named “Lightning” delivered a breakthrough performance, completing the 21-kilometer race in just 50 minutes and 26 seconds. The result was faster than the current human half marathon world record, marking a major milestone in robotics and embodied AI development. What makes it more striking is that “Lightning” ran fully autonomously, relying on onboard systems for navigation, balance control, and pacing throughout the race. Compared to last year’s winning time of over two hours, the improvement highlights how rapidly humanoid robot technology is evolving from experimental systems into real-world capability. This event is not just about speed — it reflects a broader shift where humanoid robots are moving closer to practical applications in logistics, industry, and public environments. #RobotMarathon #HumanoidRobot #ArtificialIntelligence #RobotVsHuman"
7634734261110689025,,,https://www.tiktok.com/@taitlawton/video/7634734261110689025,791,713,,Humanoid Marathon Progression,Humanoid Marathon Progression
7630395684377677057,,,https://www.tiktok.com/@tbsnewsdig/video/7630395684377677057,1915,891,,人間の世界記録を7分近く更新！中国･北京で人型ロボットのハー,人間の世界記録を7分近く更新！中国･北京で人型ロボットのハーフマラソン大会　転倒などハプニングも　中国産ロボットを世界にアピール #tbs #tiktokでニュース
7630722077196029206,,,https://www.tiktok.com/@dwnews/video/7630722077196029206,3,0,,Beijing has just held a half-m,"Beijing has just held a half-marathon with a difference - with human runners left standing by a record-breaking robot. Humans and humanoids ran in separate lanes to avoid accidents or collisions. The winner, the aptly named Lightning, put in an astonishing performance.  DW spoke with Ravinder Dahiya, a professor of electrical and computer engineering at Northeastern University in Boston, and also a specialist in robotic touch sensing. #dwnews"
